state,median_h_income,poverty_rate,poverty_count,year
Alabama,40538,18.9,883078,2010
Alaska,63456,11.0,76850,2010
Arizona,46787,17.6,1105075,2010
Arkansas,38413,18.7,529710,2010
California,57664,15.8,5785036,2010
Colorado,54411,13.2,651744,2010
Connecticut,64321,10.1,348881,2010
Delaware,56172,11.9,104456,2010
District of Columbia,60729,18.8,107279,2010
Florida,44390,16.5,3048621,2010
Georgia,46252,18.0,1698004,2010
Hawaii,62774,11.1,146923,2010
Idaho,43259,15.8,244009,2010
Illinois,52967,13.8,1732129,2010
Indiana,44616,15.3,960402,2010
Iowa,48031,12.5,368965,2010
Kansas,47888,13.5,374677,2010
Kentucky,40089,18.9,796208,2010
Louisiana,42510,18.8,831512,2010
Maine,45882,13.1,169076,2010
Maryland,68933,9.9,559937,2010
Massachusetts,62133,11.4,724845,2010
Michigan,45354,16.7,1614110,2010
Minnesota,55422,11.5,595485,2010
Mississippi,36992,22.4,644156,2010
Missouri,44306,15.3,888471,2010
Montana,42303,15.2,146257,2010
Nebraska,48415,12.6,224530,2010
Nevada,50987,14.8,393605,2010
New Hampshire,60917,8.6,110096,2010
New Jersey,67719,10.2,883643,2010
New Mexico,42186,19.8,400779,2010
New York,54047,15.0,2840564,2010
North Carolina,43417,17.4,1618597,2010
North Dakota,48878,12.5,81176,2010
Ohio,45151,15.8,1771404,2010
Oklahoma,42076,16.8,613067,2010
Oregon,46536,15.8,596649,2010
Pennsylvania,49245,13.4,1645097,2010
Rhode Island,52053,14.1,143132,2010
South Carolina,42117,18.1,813939,2010
South Dakota,45861,14.6,114798,2010
Tennessee,41461,17.8,1102643,2010
Texas,48622,17.9,4411273,2010
Utah,54740,13.3,362689,2010
Vermont,49393,12.4,74720,2010
Virginia,60665,11.1,865746,2010
Washington,55584,13.5,890251,2010
West Virginia,38241,18.2,327459,2010
Wisconsin,48974,13.2,731564,2010
Wyoming,53757,11.4,62636,2010
Alabama,41427,19.1,896117,2011
Alaska,65699,10.8,76021,2011
Arizona,46710,19.0,1201376,2011
Arkansas,38889,19.3,550079,2011
California,57275,16.6,6121726,2011
Colorado,55530,13.4,669267,2011
Connecticut,65822,10.8,373284,2011
Delaware,58159,12.6,111176,2011
District of Columbia,62087,19.1,111906,2011
Florida,44250,17.0,3178155,2011
Georgia,45886,19.2,1836715,2011
Hawaii,62071,12.1,161606,2011
Idaho,43345,16.5,256257,2011
Illinois,53271,14.9,1871484,2011
Indiana,46410,15.8,1001053,2011
Iowa,49545,12.7,376300,2011
Kansas,48844,13.8,383859,2011
Kentucky,41141,19.1,809764,2011
Louisiana,41804,20.5,910266,2011
Maine,46160,14.2,183723,2011
Maryland,70075,10.2,581244,2011
Massachusetts,63126,11.6,740512,2011
Michigan,45931,17.5,1687624,2011
Minnesota,56944,11.8,617185,2011
Mississippi,36963,22.8,658232,2011
Missouri,45231,15.8,922103,2011
Montana,44011,15.2,148183,2011
Nebraska,50281,12.9,230003,2011
Nevada,49099,15.8,423195,2011
New Hampshire,62436,9.0,114906,2011
New Jersey,67574,10.4,897916,2011
New Mexico,42097,20.9,427340,2011
New York,55147,16.1,3043461,2011
North Carolina,44028,17.8,1673627,2011
North Dakota,52135,12.0,79124,2011
Ohio,45803,16.3,1836098,2011
Oklahoma,43232,17.3,636083,2011
Oregon,46876,17.3,655245,2011
Pennsylvania,50221,13.7,1690003,2011
Rhode Island,53152,14.7,148079,2011
South Carolina,42477,18.8,852999,2011
South Dakota,48188,14.1,112258,2011
Tennessee,41691,18.4,1148161,2011
Texas,49390,18.5,4627604,2011
Utah,55802,13.6,377396,2011
Vermont,52033,11.9,71378,2011
Virginia,61877,11.6,912779,2011
Washington,56811,13.9,931605,2011
West Virginia,38587,18.7,336658,2011
Wisconsin,50401,13.1,728099,2011
Wyoming,56044,11.3,62801,2011
Alabama,41610,19.0,896515,2012
Alaska,66503,10.8,77494,2012
Arizona,47796,18.7,1195931,2012
Arkansas,40151,19.6,560928,2012
California,58322,17.0,6323433,2012
Colorado,56880,13.6,688715,2012
Connecticut,67275,10.6,370537,2012
Delaware,58326,12.7,113316,2012
District of Columbia,65231,18.8,112719,2012
Florida,45006,17.2,3248276,2012
Georgia,47125,19.2,1852459,2012
Hawaii,66086,11.8,159988,2012
Idaho,45296,16.0,250203,2012
Illinois,55126,14.7,1847371,2012
Indiana,46954,15.5,984948,2012
