Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher,Bachelor's degree or higher,Population 45 to 64 years,High school graduate or higher,Bachelor's degree or higher,Population 65 years and over,High school graduate or higher,Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree,    Graduate or professional degree,PERCENT IMPUTED,    Educational attainment
Alabama Total Estimate,"485,274",17.70%,29.10%,46.30%,6.90%,"3,193,078",5.60%,11.70%,30.90%,22.20%,7.40%,13.90%,8.40%,82.70%,22.30%,"609,611",84.30%,24.80%,"613,286",85.60%,24.70%,"1,296,391",85.40%,22.50%,"673,790",73.50%,17.30%,,29.30%,16.30%,11.90%,4.10%,,"30,910","19,049","25,069","30,318","44,800","54,200",,5.10%
Alaska Total Estimate,"77,633",18.50%,35.90%,40.20%,5.40%,"456,862",3.10%,5.20%,28.10%,29.90%,7.40%,16.90%,9.50%,91.80%,26.40%,"106,279",93.40%,24.00%,"93,356",93.50%,30.50%,"198,860",93.10%,26.00%,"58,367",81.40%,25.20%,,17.80%,11.50%,6.40%,2.20%,,"40,812","22,342","32,173","40,478","50,422","69,222",,3.70%
Arizona Total Estimate,"647,258",19.00%,30.50%,44.10%,6.40%,"4,211,223",6.20%,8.10%,24.60%,26.20%,8.30%,17.10%,9.50%,85.70%,26.60%,"866,715",85.80%,25.40%,"824,699",84.00%,27.50%,"1,596,656",87.20%,27.20%,"923,153",84.50%,25.80%,,33.40%,16.90%,11.60%,5.30%,,"32,165","17,925","24,995","32,066","46,485","57,249",,6.20%
Arkansas Total Estimate,"283,366",15.50%,32.70%,45.50%,6.30%,"1,943,427",6.20%,10.00%,35.70%,22.00%,5.80%,13.10%,7.20%,83.80%,20.30%,"382,514",86.90%,22.70%,"365,721",87.30%,23.20%,"766,567",85.40%,20.20%,"428,625",75.00%,15.90%,,28.70%,16.50%,13.40%,4.10%,,"28,700","18,392","24,009","27,926","42,220","56,579",,3.50%
California Total Estimate,"3,980,604",15.80%,28.80%,47.20%,8.20%,"24,443,872",10.30%,8.60%,21.10%,22.10%,7.70%,19.20%,11.10%,81.10%,30.30%,"5,404,486",84.20%,30.50%,"5,169,975",80.00%,32.40%,"9,471,358",81.90%,30.50%,"4,398,053",76.90%,27.20%,,26.30%,15.50%,11.00%,5.10%,,"35,561","18,261","26,941","35,303","52,824","76,253",,5.80%
Colorado Total Estimate,"500,909",15.90%,28.40%,45.10%,10.50%,"3,387,310",4.00%,5.80%,22.40%,22.80%,8.30%,23.30%,13.40%,90.20%,36.70%,"744,951",90.00%,37.40%,"709,547",89.40%,39.50%,"1,357,315",92.40%,37.50%,"575,497",86.40%,30.50%,,25.00%,13.00%,9.60%,4.70%,,"36,435","21,397","28,344","33,581","46,180","60,987",,4.40%
Connecticut Total Estimate,"332,686",14.50%,28.30%,44.60%,12.70%,"2,444,403",4.40%,6.50%,27.70%,17.90%,7.30%,20.50%,15.70%,89.10%,36.20%,"428,130",90.60%,39.20%,"467,003",91.60%,40.70%,"1,033,956",91.50%,37.00%,"515,314",80.70%,27.90%,,24.10%,10.60%,7.80%,3.40%,,"42,417","21,965","32,869","38,371","56,878","75,875",,4.10%
Delaware Total Estimate,"91,390",16.20%,27.40%,46.20%,10.30%,"611,120",4.70%,8.30%,31.60%,19.60%,7.00%,17.10%,11.70%,87.00%,28.80%,"114,197",85.20%,31.50%,"114,001",90.30%,32.90%,"249,010",90.00%,28.20%,"133,912",80.00%,24.40%,,21.10%,11.20%,6.90%,2.80%,,"38,386","22,072","31,824","37,279","50,310","66,546",,4.00%
District of Columbia Total Estimate,"84,255",11.00%,20.50%,45.40%,23.10%,"428,261",5.10%,7.70%,17.70%,14.20%,2.80%,23.30%,29.20%,87.20%,52.50%,"133,265",94.00%,69.80%,"82,827",88.70%,55.20%,"142,431",85.10%,41.50%,"69,738",76.80%,38.50%,,35.60%,22.80%,17.90%,4.20%,,"54,264","24,316","31,692","37,965","61,357","80,936",,7.10%
Florida Total Estimate,"1,795,011",17.70%,30.20%,44.40%,7.70%,"13,267,581",5.60%,8.40%,30.40%,20.80%,8.90%,16.50%,9.30%,85.90%,25.80%,"2,328,282",87.10%,26.10%,"2,408,924",88.30%,28.40%,"5,170,980",87.80%,26.40%,"3,359,395",80.60%,23.00%,,28.40%,16.10%,10.90%,5.60%,,"30,608","17,182","24,452","30,565","41,888","57,025",,6.60%
