Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,PERCENT IMPUTED,    Educational attainment
Alabama Total Estimate,"484,011",16.10%,32.50%,44.60%,6.80%,"3,256,766",5.10%,10.20%,31.60%,21.80%,7.90%,14.70%,8.80%,84.70%,23.50%,"615,948",86.30%,25.10%,"613,234",87.50%,26.20%,"1,281,072",86.80%,24.00%,"746,512",77.50%,19.00%,,32.70%,17.50%,12.50%,4.40%,,"31,507","17,583","25,693","30,662","45,874","55,873",,7.10%
Alaska Total Estimate,"84,814",14.50%,37.30%,41.20%,7.00%,"465,149",2.70%,4.40%,28.40%,28.30%,8.20%,18.40%,9.60%,92.90%,28.00%,"113,774",93.30%,24.20%,"93,083",95.30%,30.60%,"188,393",94.00%,28.10%,"69,899",85.80%,30.40%,,20.60%,14.20%,6.40%,3.00%,,"45,182","26,163","35,963","41,783","56,042","71,806",,7.10%
Arizona Total Estimate,"673,187",17.00%,31.70%,44.40%,6.90%,"4,436,226",6.40%,7.50%,24.30%,25.70%,8.50%,17.30%,10.30%,86.10%,27.60%,"895,519",87.00%,26.00%,"839,439",84.20%,29.50%,"1,630,511",86.70%,27.60%,"1,070,757",85.70%,27.30%,,32.30%,17.30%,11.50%,5.70%,,"33,957","19,554","27,120","32,971","46,407","60,458",,9.70%
Arkansas Total Estimate,"291,815",14.20%,32.70%,45.60%,7.40%,"1,968,414",5.60%,9.00%,34.90%,22.80%,6.30%,13.80%,7.50%,85.30%,21.40%,"378,309",89.10%,24.10%,"374,567",86.80%,23.80%,"750,526",87.30%,21.10%,"465,012",78.00%,17.70%,,29.50%,16.50%,12.30%,4.60%,,"30,727","20,961","25,749","29,634","43,020","55,818",,5.80%
California Total Estimate,"3,996,629",13.00%,28.80%,48.80%,9.50%,"25,654,292",10.00%,7.90%,20.90%,21.70%,7.80%,20.00%,11.80%,82.10%,31.70%,"5,722,924",86.40%,33.20%,"5,184,418",81.30%,33.70%,"9,756,858",81.60%,30.90%,"4,990,092",78.90%,29.50%,,26.50%,16.20%,11.00%,5.50%,,"36,900","19,839","27,664","36,015","55,900","77,653",,8.70%
Colorado Total Estimate,"524,258",12.70%,27.80%,48.30%,11.20%,"3,584,463",4.10%,5.30%,21.90%,22.10%,8.20%,24.10%,14.30%,90.50%,38.30%,"798,685",90.10%,37.70%,"724,786",90.30%,42.90%,"1,381,420",91.80%,38.50%,"679,572",88.80%,34.00%,,24.20%,11.50%,9.20%,4.40%,,"39,341","23,004","30,568","35,329","48,818","64,861",,8.10%
Connecticut Total Estimate,"349,983",11.80%,29.90%,44.30%,14.10%,"2,471,818",4.20%,5.80%,27.50%,17.10%,7.50%,21.30%,16.70%,90.10%,38.00%,"438,421",91.70%,40.90%,"441,421",90.90%,43.50%,"1,036,448",92.10%,38.60%,"555,528",84.30%,30.40%,,25.10%,11.50%,8.00%,3.30%,,"45,481","22,153","32,916","40,502","61,087","76,885",,6.40%
Delaware Total Estimate,"91,429",15.30%,31.00%,45.20%,8.50%,"640,343",3.40%,7.70%,31.20%,19.20%,7.90%,18.30%,12.30%,89.00%,30.60%,"121,964",88.20%,33.50%,"111,621",90.50%,35.50%,"252,999",90.40%,30.00%,"153,759",86.20%,25.70%,,24.70%,11.40%,8.70%,3.90%,,"39,259","24,636","31,910","35,851","51,577","62,490",,8.40%
District of Columbia Total Estimate,"80,652",11.70%,25.90%,38.60%,23.70%,"463,211",4.10%,5.70%,18.20%,13.60%,3.40%,24.30%,30.60%,90.20%,55.00%,"150,211",93.40%,69.40%,"92,877",92.90%,62.30%,"145,658",88.50%,43.50%,"74,465",83.50%,39.20%,,33.70%,23.90%,18.00%,5.80%,,"55,123","23,181","28,125","38,724","62,475","88,605",,8.50%
Florida Total Estimate,"1,798,078",16.50%,30.20%,45.10%,8.20%,"14,041,196",5.20%,7.60%,29.60%,20.70%,9.70%,17.40%,9.80%,87.20%,27.30%,"2,512,629",89.00%,27.80%,"2,432,609",88.50%,29.30%,"5,305,004",88.60%,27.30%,"3,790,954",83.30%,25.60%,,28.30%,16.40%,11.20%,6.10%,,"31,171","18,716","25,206","30,779","43,378","56,526",,8.90%
