Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama Total Estimate,,"468,319","70,992","149,612","212,684","35,031","3,282,252","158,830","338,052","1,018,063","707,979","266,452","504,626","288,250",(X),(X),"624,472","542,689","161,130","612,193","528,600","165,594","1,283,740","1,102,622","305,002","761,847","611,459","161,150",,"2,342,482","2,027,741","624,622","2,279,702","1,989,189","615,164","816,758","665,958","133,199","13,968","11,058","2,679","40,066","34,451","20,490","2,449","1,220",319,"27,494","12,509","2,237","39,035","32,433","9,330","96,774","55,544","12,459",,(X),(X),(X),(X),,"32,468","20,732","27,223","30,878","46,740","56,164"
Alaska Total Estimate,,"82,518","12,427","31,416","33,882","4,793","469,523","12,121","22,495","128,052","129,326","38,113","87,869","51,547",(X),(X),"118,778","110,327","33,668","91,656","86,177","26,822","188,081","176,033","57,535","71,008","62,370","21,391",,"332,742","318,375","118,915","316,043","302,936","115,549","15,302","14,585","3,015","55,872","45,544","3,988","30,790","25,177","7,554","2,825","2,406",72,"6,962","5,488","1,088","25,030","23,332","4,784","25,926","22,866","4,733",,(X),(X),(X),(X),,"41,968","21,923","33,815","41,036","52,885","70,590"
Arizona Total Estimate,,"669,583","114,187","203,312","302,777","49,307","4,536,954","271,316","359,657","1,110,871","1,155,555","382,106","788,933","468,516",(X),(X),"914,761","795,472","241,047","845,274","709,336","242,768","1,656,915","1,433,627","461,798","1,120,004","967,546","311,836",,"3,663,151","3,229,819","1,066,299","2,862,388","2,687,401","970,782","182,629","161,624","41,895","177,653","136,231","17,670","151,375","132,737","82,037","7,626","6,776","1,586","266,473","161,319","23,276","88,047","77,475","24,686","1,122,913","746,212","125,693",,(X),(X),(X),(X),,"35,016","20,377","27,947","33,632","49,801","60,884"
Arkansas Total Estimate,,"284,441","36,309","90,153","137,505","20,474","1,987,819","105,945","184,126","678,452","450,886","135,029","278,975","154,406",(X),(X),"385,391","341,615","93,033","367,499","322,906","92,184","756,815","650,789","159,014","478,114","382,438","89,150",,"1,602,976","1,394,731","369,216","1,538,245","1,358,657","362,223","282,880","227,656","38,663","12,114","9,902","1,895","27,638","23,559","14,233","3,935","2,795",18,"32,419","17,690","2,903","25,857","21,415","6,453","99,470","54,643","9,688",,(X),(X),(X),(X),,"30,983","21,608","26,241","30,020","42,828","55,490"
California Total Estimate,,"3,943,137","490,779","1,166,501","1,904,349","381,508","26,085,263","2,582,757","2,060,753","5,430,081","5,603,279","1,992,703","5,285,754","3,129,936",(X),(X),"5,832,712","5,078,189","1,985,160","5,190,370","4,220,860","1,801,173","9,872,623","8,019,913","3,066,436","5,189,558","4,122,791","1,562,921",,"16,391,723","13,867,594","5,410,574","11,281,942","10,669,566","4,744,509","1,520,866","1,353,633","369,995","178,755","130,298","25,882","4,033,232","3,518,694","2,047,431","99,185","86,980","16,722","3,082,022","1,800,164","287,293","779,480","684,390","257,793","8,573,223","5,281,597","1,020,906",,(X),(X),(X),(X),,"37,476","20,880","29,108","36,161","57,282","80,442"
Colorado Total Estimate,,"527,949","70,618","157,730","240,847","58,754","3,671,853","135,573","188,280","796,984","809,037","301,203","909,032","531,744",(X),(X),"827,137","761,849","324,927","737,989","663,597","319,083","1,395,155","1,285,760","538,738","711,572","636,794","258,028",,"3,176,001","2,938,828","1,302,883","2,704,318","2,607,259","1,233,498","141,755","127,670","34,402","34,411","28,239","4,536","109,813","93,283","55,615","5,134","4,876",931,"124,401","80,897","14,458","80,338","74,207","27,951","633,161","442,962","90,100",,(X),(X),(X),(X),,"40,229","25,304","31,280","35,392","50,196","63,270"
Connecticut Total Estimate,,"352,843","37,981","97,565","165,295","52,002","2,474,718","104,772","137,496","678,916","417,520","187,970","535,933","412,111",(X),(X),"442,776","408,304","193,704","432,504","397,492","180,801","1,034,155","950,056","396,555","565,283","476,598","176,984",,"1,972,537","1,819,666","803,896","1,793,942","1,686,054","769,036","240,257","207,540","53,267","6,556","4,585",835,"106,083","95,795","66,218",N,N,N,"106,291","67,283","11,148","42,698","37,285","12,545","310,831","220,475","49,931",,(X),(X),(X),(X),,"46,500","22,595","35,288","40,982","61,071","77,568"
Delaware Total Estimate,,"89,098","12,574","27,340","39,399","9,785","652,636","24,692","47,663","194,810","130,986","52,556","117,581","84,348",(X),(X),"124,348","109,417","40,876","110,727","98,527","39,092","256,737","233,432","79,813","160,824","138,905","42,148",,"475,992","426,994","149,660","445,757","410,005","145,988","128,898","112,846","29,549","2,439","1,940",618,"24,681","22,840","16,807",N,N,N,"10,994","6,579","1,397","9,375","8,902","3,898","44,801","26,522","6,209",,(X),(X),(X),(X),,"40,734","25,297","30,752","36,993","52,261","65,967"
District of Columbia Total Estimate,,"81,506","5,031","19,290","37,684","19,501","472,884","20,227","28,022","82,181","60,107","14,002","112,629","155,716",(X),(X),"152,487","144,158","108,617","96,419","89,686","60,511","147,387","128,873","68,259","76,591","61,918","30,958",,"202,478","199,389","181,641","184,676","183,888","169,206","214,913","181,721","56,276",N,N,N,"19,795","18,548","15,427",N,N,N,"21,956","12,584","6,329","11,920","10,641","7,470","45,602","32,788","20,184",,(X),(X),(X),(X),,"57,512","23,604","28,467","38,881","64,142","84,682"
Florida Total Estimate,,"1,774,002","290,921","526,907","800,421","155,753","14,394,281","750,053","1,031,199","4,201,879","2,935,247","1,383,565","2,620,339","1,471,999",(X),(X),"2,593,253","2,326,010","753,931","2,463,472","2,183,771","756,030","5,392,323","4,777,006","1,525,821","3,945,233","3,326,242","1,056,556",,"11,372,215","10,132,687","3,391,679","8,606,703","7,974,541","2,744,064","2,036,510","1,660,852","368,693","34,065","28,283","7,631","384,019","335,395","186,746","7,267","6,862","1,529","335,474","253,475","67,269","224,731","195,475","68,791","3,235,668","2,517,399","737,941",,(X),(X),(X),(X),,"31,662","19,735","25,474","31,137","42,714","57,128"
