Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama Total Estimate,,"463,070","63,369","148,705","218,092","32,904","3,300,713","157,797","333,897","1,011,236","711,231","271,030","506,680","308,842",(X),(X),"629,565","550,214","165,375","598,269","519,473","169,499","1,288,927","1,110,008","313,792","783,952","629,324","166,856",,"2,343,981","2,033,440","631,551","2,285,863","1,996,769","622,920","825,982","676,912","145,714","17,530","14,031","3,305","42,268","36,248","20,507",N,N,N,"34,822","17,380","3,977","34,811","29,909","10,274","98,289","57,299","12,730",,(X),(X),(X),(X),,"33,888","20,524","27,144","31,547","48,304","57,307"
Alaska Total Estimate,,"75,647","10,553","29,718","29,776","5,600","478,951","10,392","22,585","133,928","129,650","40,819","90,861","50,716",(X),(X),"121,629","114,205","33,513","92,373","86,923","28,180","189,117","177,156","56,160","75,832","67,690","23,724",,"333,536","319,189","119,855","320,221","307,523","117,370","14,926","13,895","1,822","61,314","51,489","4,330","31,070","26,987","8,130","5,381","4,858",462,"7,846","6,246",797,"24,878","23,310","6,181","26,133","21,443","3,552",,(X),(X),(X),(X),,"43,493","27,147","32,063","41,663","51,665","75,950"
Arizona Total Estimate,,"673,240","104,586","222,145","294,824","51,685","4,626,409","265,215","349,224","1,105,497","1,179,736","390,843","835,779","500,115",(X),(X),"929,487","807,939","251,894","849,315","723,029","256,382","1,677,781","1,459,062","488,099","1,169,826","1,021,940","339,519",,"3,681,437","3,288,932","1,134,743","2,904,722","2,728,489","1,024,482","182,951","163,399","43,326","175,759","137,622","18,505","153,710","133,489","83,961","8,919","7,582","1,896","324,505","193,659","27,217","99,128","87,287","26,246","1,153,404","794,537","146,879",,(X),(X),(X),(X),,"35,919","21,300","27,708","34,251","50,479","62,034"
Arkansas Total Estimate,,"290,440","45,197","96,237","126,965","22,041","1,990,448","100,157","179,465","681,969","449,709","133,315","282,608","163,225",(X),(X),"382,578","339,816","94,961","364,966","318,754","94,293","757,274","660,068","163,268","485,630","392,188","93,311",,"1,591,895","1,396,204","375,239","1,537,148","1,361,279","368,889","281,785","232,481","45,092","11,027","9,645","2,068","28,508","24,749","13,491",N,N,N,"41,779","19,157","3,740","31,719","26,843","6,074","101,002","56,850","9,744",,(X),(X),(X),(X),,"31,687","22,442","26,629","30,419","45,963","56,296"
California Total Estimate,,"3,852,527","450,516","1,151,620","1,863,716","386,675","26,304,241","2,556,147","2,062,516","5,390,935","5,602,398","2,031,775","5,426,164","3,234,306",(X),(X),"5,902,164","5,193,801","2,093,253","5,168,066","4,229,793","1,828,366","9,885,572","8,007,640","3,106,599","5,348,439","4,254,344","1,632,252",,"16,275,015","13,866,958","5,535,186","11,269,651","10,656,428","4,858,354","1,523,493","1,359,241","370,531","188,079","142,249","25,959","4,086,920","3,555,253","2,115,649","99,235","85,889","20,261","3,291,611","1,928,844","306,001","839,888","747,144","286,883","8,703,787","5,452,259","1,057,443",,(X),(X),(X),(X),,"40,005","21,558","30,231","36,985","60,121","82,271"
Colorado Total Estimate,,"534,527","67,785","171,428","233,085","62,229","3,745,506","128,209","192,377","822,144","787,366","322,529","934,273","558,608",(X),(X),"837,560","766,818","338,723","745,669","671,505","315,184","1,419,221","1,309,979","562,174","743,056","676,618","276,800",,"3,228,969","2,994,505","1,344,602","2,755,399","2,658,733","1,266,409","145,505","129,727","35,745","35,063","28,687","6,299","118,963","103,431","60,252","5,019","4,526",828,"133,169","92,120","16,011","78,818","71,924","29,144","646,809","459,621","101,530",,(X),(X),(X),(X),,"40,893","25,649","31,515","36,440","51,136","65,657"
Connecticut Total Estimate,,"356,553","33,601","105,267","162,400","55,285","2,467,737","100,513","133,422","678,776","415,150","186,288","541,369","412,219",(X),(X),"436,596","407,069","189,635","424,492","388,658","186,794","1,030,009","949,096","396,021","576,640","488,979","181,138",,"1,966,682","1,817,960","808,784","1,778,311","1,675,484","770,014","241,134","207,783","47,077","6,068","5,000","1,038","106,420","96,267","69,801",N,N,N,"103,172","67,553","12,917","43,553","38,679","13,618","316,522","228,918","56,661",,(X),(X),(X),(X),,"47,481","23,388","35,458","41,504","61,257","80,306"
Delaware Total Estimate,,"85,281","14,346","29,575","33,290","8,070","662,547","22,347","48,247","212,474","122,182","52,228","121,717","83,352",(X),(X),"128,569","114,481","41,773","110,018","95,858","36,712","257,286","235,627","79,955","166,674","145,987","46,629",,"482,121","434,430","156,407","449,466","413,200","151,856","132,020","115,428","27,506","2,945","2,385",510,"25,509","23,747","16,318",N,N,N,"9,547","7,270","1,643","9,596","8,023","2,646","45,728","31,003","7,372",,(X),(X),(X),(X),,"40,032","26,171","31,751","36,993","54,225","71,356"
District of Columbia Total Estimate,,"80,230","6,220","23,177","31,563","19,270","480,158","17,097","28,646","85,248","62,206","14,086","115,097","157,778",(X),(X),"154,662","146,496","108,600","98,911","90,653","61,028","147,488","130,110","70,139","79,097","67,156","33,108",,"209,538","204,033","186,363","189,306","188,238","174,222","217,411","187,820","55,688",N,N,N,"19,965","19,275","17,086",N,N,N,"21,627","12,302","5,210","9,884","9,498","7,357","47,175","31,992","19,593",,(X),(X),(X),(X),,"60,200","22,167","30,311","35,313","65,886","89,436"
Florida Total Estimate,,"1,763,628","272,853","539,541","793,318","157,916","14,703,671","762,762","1,092,451","4,249,733","2,961,148","1,429,121","2,675,907","1,532,549",(X),(X),"2,660,916","2,380,063","770,405","2,467,080","2,175,377","772,100","5,484,911","4,837,890","1,538,203","4,090,764","3,455,128","1,127,748",,"11,584,929","10,309,415","3,487,614","8,727,205","8,061,167","2,811,651","2,082,501","1,693,559","380,139","37,597","28,877","6,565","402,415","347,033","201,585","8,418","6,869","2,051","359,709","268,825","66,459","228,102","193,880","64,043","3,356,171","2,622,922","768,796",,(X),(X),(X),(X),,"32,100","20,825","26,129","31,670","45,031","59,576"
