Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama Total Estimate,,"457,530","56,454","158,761","207,319","34,996","3,360,058","130,320","302,753","1,039,241","700,473","301,914","547,975","337,382","2,926,985","885,357","637,403","569,279","174,995","605,739","532,109","179,546","1,262,604","1,110,068","332,863","854,312","715,529","197,953",,"2,363,674","2,091,107","674,566","2,299,781","2,048,642","661,755","855,485","727,720","164,365","16,782","13,240","3,137","47,226","41,370","26,378",N,N,N,"36,540","18,878","3,942","39,473","34,010","12,957","104,045","63,758","17,079",,(X),(X),(X),(X),,"37,217","22,395","30,845","35,107","50,643","60,922"
Alaska Total Estimate,,"67,738","8,447","27,173","28,997","3,121","484,058","10,424","20,666","139,156","124,261","43,394","89,583","56,574","452,968","146,157","117,978","109,056","30,578","93,035","88,465","32,567","182,457","171,689","55,151","90,588","83,758","27,861",,"336,103","322,480","120,058","316,918","305,927","116,253","15,832","14,160","3,527","66,228","55,331","5,951","30,918","28,855","8,835",N,N,N,"6,790","5,731","1,178","22,413","21,566","6,545","28,365","24,401","5,641",,(X),(X),(X),(X),,"47,809","23,264","36,522","47,878","53,033","71,947"
Arizona Total Estimate,,"694,529","100,988","246,748","276,860","69,933","4,944,540","252,459","360,539","1,170,685","1,236,845","431,854","931,038","561,120","4,331,542","1,492,158","1,001,594","888,213","282,025","898,533","778,048","289,672","1,737,172","1,510,784","515,055","1,307,241","1,154,497","405,406",,"4,002,380","3,553,471","1,246,529","3,010,564","2,848,764","1,103,023","214,990","193,271","58,680","198,701","157,995","22,229","172,708","153,437","102,839","9,550","8,374",970,"223,940","156,950","25,139","122,271","108,044","35,772","1,292,262","918,531","179,441",,(X),(X),(X),(X),,"39,956","25,701","31,371","37,016","52,077","69,902"
Arkansas Total Estimate,,"282,336","33,273","97,402","126,196","25,465","2,036,456","94,376","160,617","710,306","444,052","151,738","307,185","168,182","1,781,463","475,367","386,602","351,886","99,160","377,184","336,879","103,047","748,433","656,017","165,833","524,237","436,681","107,327",,"1,625,302","1,439,171","395,246","1,550,578","1,393,472","386,668","292,048","253,776","49,683","12,779","10,649","1,953","29,658","26,866","16,513","4,386","1,944",519,"38,425","20,033","2,873","33,858","29,024","8,580","117,900","69,198","11,606",,(X),(X),(X),(X),,"35,215","25,695","30,057","31,778","46,964","62,027"
California Total Estimate,,"3,683,287","367,782","1,151,214","1,736,881","427,410","26,937,872","2,346,235","1,955,278","5,546,711","5,542,372","2,118,792","5,889,724","3,538,760","22,636,359","9,428,484","6,036,052","5,453,658","2,308,396","5,298,911","4,478,016","2,022,139","9,767,911","7,973,974","3,214,763","5,834,998","4,730,711","1,883,186",,"16,461,029","14,222,410","5,856,506","11,075,547","10,557,467","5,011,778","1,573,950","1,424,975","426,626","218,013","170,934","36,572","4,363,485","3,863,863","2,370,408","106,486","92,119","22,074","3,279,489","2,028,988","376,014","935,420","833,070","340,284","9,150,608","6,076,540","1,315,780",,(X),(X),(X),(X),,"45,095","25,949","33,494","41,090","65,078","92,334"
Colorado Total Estimate,,"527,473","65,561","167,955","221,559","72,398","3,974,943","127,702","174,518","836,590","805,570","334,961","1,057,825","637,777","3,672,723","1,695,602","907,627","851,327","403,405","805,306","734,977","367,985","1,416,632","1,310,289","592,914","845,378","776,130","331,298",,"3,406,342","3,181,041","1,509,967","2,877,914","2,784,448","1,410,277","155,881","143,961","43,077","38,549","32,408","8,479","134,942","121,513","72,037","5,685","3,442",962,"128,870","94,591","20,622","104,674","95,767","40,458","712,267","535,637","131,731",,(X),(X),(X),(X),,"46,887","30,968","35,537","40,819","58,229","71,616"
Connecticut Total Estimate,,"341,435","35,160","102,175","147,669","56,431","2,496,420","99,132","132,707","668,361","410,972","190,700","549,166","445,382","2,264,581","994,548","444,509","415,168","197,508","426,967","390,802","192,917","995,912","912,666","388,742","629,032","545,945","215,381",,"1,939,577","1,800,982","826,768","1,748,083","1,654,393","784,887","257,234","222,119","55,909","5,100","4,604","1,260","114,306","103,593","74,596",N,N,N,"121,383","83,995","17,384","58,085","48,608","18,003","347,589","256,913","61,954",,(X),(X),(X),(X),,"50,788","24,426","37,017","42,884","64,143","85,175"
Delaware Total Estimate,,"82,507","9,213","26,864","38,168","8,262","687,311","23,925","42,597","207,642","128,063","56,885","134,287","93,912","620,789","228,199","128,412","117,104","42,172","113,704","99,617","42,938","255,557","233,923","86,700","189,638","170,145","56,389",,"490,907","445,821","170,098","457,913","425,644","165,137","145,150","131,494","35,661","3,160","2,630",373,"25,875","24,432","17,058",N,N,N,"12,058","7,167","1,632","9,900","8,984","3,377","49,372","30,738","6,872",,(X),(X),(X),(X),,"43,164","31,024","33,671","38,048","56,603","70,579"
District of Columbia Total Estimate,,"72,703","3,199","19,034","33,665","16,805","505,145","16,459","24,709","79,881","65,745","16,922","129,825","171,604","463,977","301,429","164,375","156,272","120,636","108,905","101,314","71,921","144,328","131,080","69,026","87,537","75,311","39,846",,"230,095","225,924","205,529","204,162","203,173","188,000","220,748","190,880","62,020",N,N,N,"22,230","21,199","17,845",N,N,N,"17,430","12,079","5,907","13,127","12,380","9,829","50,141","40,499","26,064",,(X),(X),(X),(X),,"71,361","30,883","31,768","44,248","75,222","101,956"
Florida Total Estimate,,"1,761,280","252,646","565,965","755,137","187,532","15,484,502","712,764","1,081,871","4,396,122","3,001,381","1,538,727","2,982,643","1,770,994","13,689,867","4,753,637","2,768,060","2,509,435","859,084","2,612,250","2,321,693","886,321","5,605,994","4,989,942","1,694,215","4,498,198","3,868,797","1,314,017",,"12,023,439","10,796,441","3,909,036","8,887,273","8,276,671","3,067,971","2,216,463","1,868,604","427,964","41,021","33,344","9,796","441,665","385,087","223,348","9,935","8,026","3,308","468,004","350,824","92,218","283,975","247,541","87,967","3,773,205","3,002,212","969,573",,(X),(X),(X),(X),,"36,021","23,292","30,064","34,752","47,810","62,425"
