state,year,Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama ,2013,"498,384",17.50%,30.30%,44.90%,7.30%,"3,225,447",4.90%,10.60%,31.00%,22.00%,8.00%,14.80%,8.70%,"612,773",86.50%,24.60%,"608,333",86.60%,25.60%,"1,282,803",86.70%,24.10%,"721,538",77.40%,19.60%,,"31,583","18,851","25,691","30,856","46,108","55,187"
Alaska ,2013,"84,107",20.20%,35.40%,39.60%,4.90%,"462,659",3.10%,5.30%,27.90%,27.50%,8.30%,18.20%,9.80%,"114,008",92.50%,27.00%,"89,946",95.70%,30.10%,"193,121",92.10%,27.10%,"65,584",83.30%,29.40%,,"42,051","26,262","35,068","40,717","51,719","70,975"
Arizona ,2013,"665,925",17.90%,31.30%,43.10%,7.60%,"4,344,737",6.40%,7.70%,24.80%,25.10%,8.60%,17.10%,10.30%,"880,940",85.30%,26.40%,"832,886",84.70%,28.50%,"1,612,187",87.00%,27.70%,"1,018,724",85.80%,26.70%,,"33,300","19,848","26,561","32,324","48,350","57,365"
Arkansas ,2013,"287,248",13.80%,32.80%,46.70%,6.70%,"1,960,503",5.60%,10.00%,35.30%,22.40%,6.10%,13.40%,7.20%,"383,853",87.30%,23.20%,"367,589",87.70%,23.70%,"755,519",85.80%,20.10%,"453,542",77.10%,16.80%,,"30,397","20,092","25,584","29,778","43,365","55,137"
California ,2013,"4,011,105",13.90%,28.80%,48.10%,9.20%,"25,147,232",10.10%,8.20%,20.80%,22.00%,7.90%,19.50%,11.50%,"5,582,572",85.40%,32.10%,"5,159,912",80.40%,32.70%,"9,610,640",81.70%,30.60%,"4,794,108",78.60%,28.80%,,"36,297","19,057","27,262","35,888","54,931","77,093"
Colorado ,2013,"512,807",15.80%,25.70%,47.70%,10.90%,"3,514,235",3.70%,5.80%,21.70%,22.80%,8.30%,23.80%,14.00%,"776,660",90.50%,37.00%,"720,347",89.40%,41.50%,"1,372,285",92.10%,38.10%,"644,943",88.70%,34.10%,,"37,204","21,624","30,011","33,594","46,891","61,730"
Connecticut ,2013,"345,423",12.90%,27.20%,46.90%,13.00%,"2,465,315",4.50%,5.90%,27.30%,17.70%,7.50%,20.60%,16.60%,"439,149",91.80%,41.20%,"448,157",91.50%,42.00%,"1,033,503",91.70%,38.20%,"544,506",82.60%,28.30%,,"42,923","21,400","32,101","38,592","57,413","75,743"
Delaware ,2013,"92,331",13.90%,35.00%,38.20%,13.00%,"629,730",3.90%,7.70%,31.20%,19.70%,7.70%,17.20%,12.60%,"119,039",87.90%,34.60%,"111,785",88.40%,34.40%,"251,961",91.10%,29.20%,"146,945",83.90%,23.30%,,"37,308","20,661","29,669","36,767","47,136","65,631"
Florida ,2013,"1,797,134",16.70%,30.60%,45.00%,7.80%,"13,726,996",5.30%,7.90%,29.50%,20.70%,9.50%,17.60%,9.70%,"2,435,386",87.90%,27.30%,"2,409,505",88.00%,29.50%,"5,237,822",88.70%,27.40%,"3,644,283",82.70%,25.30%,,"30,870","19,078","24,540","30,472","42,190","56,811"
Georgia ,2013,"1,029,614",18.00%,29.60%,44.30%,8.10%,"6,472,172",5.60%,9.00%,28.60%,21.20%,7.40%,17.80%,10.60%,"1,347,160",86.20%,29.60%,"1,391,341",87.10%,31.90%,"2,542,898",87.60%,28.20%,"1,190,773",78.20%,23.00%,,"32,284","19,172","25,926","31,244","49,053","59,111"
