state,year,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama ,2016,"463,070","63,369","148,705","218,092","32,904","3,300,713","157,797","333,897","1,011,236","711,231","271,030","506,680","308,842","629,565","550,214","165,375","598,269","519,473","169,499","1,288,927","1,110,008","313,792","783,952","629,324","166,856",,"33,888","20,524","27,144","31,547","48,304","57,307"
Alaska ,2016,"75,647","10,553","29,718","29,776","5,600","478,951","10,392","22,585","133,928","129,650","40,819","90,861","50,716","121,629","114,205","33,513","92,373","86,923","28,180","189,117","177,156","56,160","75,832","67,690","23,724",,"43,493","27,147","32,063","41,663","51,665","75,950"
Arizona ,2016,"673,240","104,586","222,145","294,824","51,685","4,626,409","265,215","349,224","1,105,497","1,179,736","390,843","835,779","500,115","929,487","807,939","251,894","849,315","723,029","256,382","1,677,781","1,459,062","488,099","1,169,826","1,021,940","339,519",,"35,919","21,300","27,708","34,251","50,479","62,034"
Arkansas ,2016,"290,440","45,197","96,237","126,965","22,041","1,990,448","100,157","179,465","681,969","449,709","133,315","282,608","163,225","382,578","339,816","94,961","364,966","318,754","94,293","757,274","660,068","163,268","485,630","392,188","93,311",,"31,687","22,442","26,629","30,419","45,963","56,296"
California ,2016,"3,852,527","450,516","1,151,620","1,863,716","386,675","26,304,241","2,556,147","2,062,516","5,390,935","5,602,398","2,031,775","5,426,164","3,234,306","5,902,164","5,193,801","2,093,253","5,168,066","4,229,793","1,828,366","9,885,572","8,007,640","3,106,599","5,348,439","4,254,344","1,632,252",,"40,005","21,558","30,231","36,985","60,121","82,271"
Colorado ,2016,"534,527","67,785","171,428","233,085","62,229","3,745,506","128,209","192,377","822,144","787,366","322,529","934,273","558,608","837,560","766,818","338,723","745,669","671,505","315,184","1,419,221","1,309,979","562,174","743,056","676,618","276,800",,"40,893","25,649","31,515","36,440","51,136","65,657"
Connecticut ,2016,"356,553","33,601","105,267","162,400","55,285","2,467,737","100,513","133,422","678,776","415,150","186,288","541,369","412,219","436,596","407,069","189,635","424,492","388,658","186,794","1,030,009","949,096","396,021","576,640","488,979","181,138",,"47,481","23,388","35,458","41,504","61,257","80,306"
Delaware ,2016,"85,281","14,346","29,575","33,290","8,070","662,547","22,347","48,247","212,474","122,182","52,228","121,717","83,352","128,569","114,481","41,773","110,018","95,858","36,712","257,286","235,627","79,955","166,674","145,987","46,629",,"40,032","26,171","31,751","36,993","54,225","71,356"
Florida ,2016,"1,763,628","272,853","539,541","793,318","157,916","14,703,671","762,762","1,092,451","4,249,733","2,961,148","1,429,121","2,675,907","1,532,549","2,660,916","2,380,063","770,405","2,467,080","2,175,377","772,100","5,484,911","4,837,890","1,538,203","4,090,764","3,455,128","1,127,748",,"32,100","20,825","26,129","31,670","45,031","59,576"
Georgia ,2016,"1,014,366","164,569","331,738","424,386","93,673","6,785,395","334,607","588,019","1,884,080","1,394,205","518,208","1,270,275","796,001","1,403,742","1,233,324","442,513","1,385,447","1,204,041","471,539","2,637,072","2,319,460","814,124","1,359,134","1,105,944","338,100",,"36,223","21,274","27,706","32,448","50,962","62,819"
Hawaii ,2016,"129,855","9,438","53,587","54,166","12,664","990,937","36,083","43,580","277,743","212,677","104,261","211,850","104,743","205,844","196,210","63,191","179,339","171,214","63,807","362,213","335,985","117,636","243,541","207,865","71,959",,"40,281","23,401","31,361","38,200","49,440","64,283"
Idaho ,2016,"159,418","19,133","57,516","73,031","9,738","1,087,265","34,434","69,695","302,866","275,485","104,375","203,363","97,047","220,555","201,118","58,072","205,831","184,837","67,545","404,717","369,142","108,240","256,162","228,039","66,553",,"32,340","23,004","27,114","31,468","41,343","60,084"
Illinois ,2016,"1,213,601","145,713","349,801","550,135","167,952","8,665,219","429,910","536,517","2,250,392","1,823,126","682,989","1,813,840","1,128,445","1,765,751","1,626,673","735,457","1,654,483","1,484,470","638,104","3,372,155","3,016,494","1,093,507","1,872,830","1,571,155","475,217",,"40,743","22,282","30,526","36,054","55,161","70,924"
Indiana ,2016,"662,944","105,641","203,163","289,103","65,037","4,392,576","164,742","346,757","1,481,882","900,213","374,136","716,293","408,553","857,485","763,161","262,302","813,214","723,818","241,274","1,728,538","1,556,093","424,585","993,339","838,005","196,685",,"36,168","22,415","30,846","33,681","48,790","60,620"
Iowa ,2016,"320,706","35,865","87,694","162,607","34,540","2,087,020","66,242","105,856","649,532","438,173","234,055","398,242","194,920","395,052","365,596","136,461","369,788","341,274","130,451","808,438","749,009","214,844","513,742","459,043","111,406",,"37,747","26,151","31,515","35,749","48,207","64,417"
Kansas ,2016,"300,434","37,611","86,112","145,690","31,021","1,891,936","68,491","110,352","496,294","438,343","157,030","390,861","230,565","377,168","344,310","134,341","353,348","316,496","127,457","723,749","659,436","241,325","437,671","392,851","118,303",,"36,897","23,425","28,685","32,765","46,772","57,533"
Kentucky ,2016,"429,008","57,422","144,325","190,127","37,134","2,995,509","170,725","257,735","968,299","640,040","256,369","419,081","283,260","564,723","508,070","154,395","556,258","501,328","156,247","1,187,003","1,021,558","263,403","687,525","536,093","128,296",,"35,057","20,974","28,372","32,301","47,610","56,285"
Louisiana ,2016,"449,365","78,458","159,445","178,185","33,277","3,115,020","160,929","325,509","1,059,273","654,115","187,288","473,299","254,607","671,108","575,726","176,919","583,366","505,826","147,943","1,186,367","1,009,910","260,302","674,179","537,120","142,742",,"35,035","20,766","27,996","32,309","46,163","57,210"
Maine ,2016,"109,959","12,784","35,260","49,887","12,028","966,569","25,640","48,498","318,369","187,940","94,984","181,434","109,704","157,452","148,982","53,600","151,647","144,190","51,566","400,818","373,289","113,736","256,652","225,970","72,236",,"35,585","19,634","27,934","33,302","43,559","56,855"
