state,year,median_h_income,poverty_rate,poverty_count,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher
Alabama,2010,40538,0.189,883078,"488,349",0.19899999999999998,0.301,0.439,0.06,"3,161,521",0.062,0.11699999999999999,0.313,0.218,0.071,0.139,0.08,"601,653",0.8320000000000001,0.248,"621,094",0.8540000000000001,0.231,"1,280,800",0.851,0.226,"657,974",0.723,0.16699999999999998
Alaska,2010,63456,0.11,76850,"75,023",0.188,0.371,0.40700000000000003,0.034,"450,577",0.027999999999999997,0.061,0.253,0.29600000000000004,0.08199999999999999,0.185,0.094,"103,690",0.9179999999999999,0.245,"93,460",0.922,0.307,"200,088",0.9229999999999999,0.294,"53,339",0.8290000000000001,0.244
Arizona,2010,46787,0.176,1105075,"634,568",0.196,0.307,0.436,0.06,"4,146,758",0.063,0.081,0.251,0.265,0.081,0.16699999999999998,0.092,"859,440",0.851,0.237,"823,770",0.85,0.268,"1,576,753",0.873,0.27399999999999997,"886,795",0.8370000000000001,0.245
Arkansas,2010,38413,0.187,529710,"291,054",0.203,0.325,0.415,0.055999999999999994,"1,919,422",0.063,0.107,0.34600000000000003,0.225,0.063,0.132,0.063,"368,047",0.865,0.225,"371,843",0.862,0.21,"759,457",0.8540000000000001,0.196,"420,075",0.725,0.152
California,2010,57664,0.158,5785036,"3,944,934",0.17300000000000001,0.276,0.473,0.078,"24,097,200",0.105,0.08800000000000001,0.20800000000000002,0.222,0.076,0.191,0.11,"5,323,453",0.8290000000000001,0.307,"5,191,065",0.797,0.316,"9,313,187",0.8190000000000001,0.306,"4,269,495",0.7659999999999999,0.265
Colorado,2010,54411,0.132,651744,"492,348",0.154,0.289,0.44299999999999995,0.113,"3,328,045",0.043,0.061,0.228,0.226,0.078,0.23399999999999999,0.13,"728,299",0.887,0.361,"703,506",0.894,0.39399999999999996,"1,344,602",0.92,0.375,"551,638",0.857,0.302
Connecticut,2010,64321,0.101,348881,"327,402",0.141,0.273,0.451,0.135,"2,434,383",0.046,0.068,0.282,0.177,0.071,0.20199999999999999,0.153,"421,750",0.895,0.395,"484,117",0.914,0.396,"1,020,363",0.912,0.369,"508,153",0.8,0.257
Delaware,2010,56172,0.119,104456,"92,921",0.195,0.257,0.46299999999999997,0.085,"600,779",0.038,0.085,0.327,0.2,0.07200000000000001,0.165,0.113,"110,516",0.855,0.31,"116,236",0.9,0.306,"244,557",0.9129999999999999,0.281,"129,470",0.805,0.21899999999999997
Florida,2010,44390,0.165,3048621,"1,766,628",0.18899999999999997,0.305,0.431,0.076,"13,077,179",0.057,0.08800000000000001,0.299,0.212,0.086,0.166,0.092,"2,270,950",0.86,0.256,"2,437,991",0.878,0.276,"5,095,039",0.875,0.268,"3,273,199",0.8029999999999999,0.23
Georgia,2010,46252,0.18,1698004,"982,443",0.20800000000000002,0.324,0.39899999999999997,0.069,"6,235,623",0.057999999999999996,0.099,0.293,0.21,0.068,0.175,0.098,"1,322,903",0.841,0.27899999999999997,"1,406,883",0.879,0.313,"2,471,939",0.866,0.278,"1,033,898",0.741,0.19899999999999998
Hawaii,2010,62774,0.111,146923,"133,032",0.071,0.40700000000000003,0.45399999999999996,0.068,"926,928",0.048,0.053,0.28600000000000003,0.225,0.092,0.19899999999999998,0.096,"180,950",0.9470000000000001,0.284,"176,314",0.938,0.32799999999999996,"371,538",0.912,0.316,"198,126",0.797,0.237
