state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2015,"468,319","70,992","149,612","212,684","35,031","3,282,252","158,830","338,052","1,018,063","707,979","266,452","504,626","288,250","624,472","542,689","161,130","612,193","528,600","165,594","1,283,740","1,102,622","305,002","761,847","611,459","161,150","32,468","20,732","27,223","30,878","46,740","56,164"
Alaska ,2015,"82,518","12,427","31,416","33,882","4,793","469,523","12,121","22,495","128,052","129,326","38,113","87,869","51,547","118,778","110,327","33,668","91,656","86,177","26,822","188,081","176,033","57,535","71,008","62,370","21,391","41,968","21,923","33,815","41,036","52,885","70,590"
Arizona ,2015,"669,583","114,187","203,312","302,777","49,307","4,536,954","271,316","359,657","1,110,871","1,155,555","382,106","788,933","468,516","914,761","795,472","241,047","845,274","709,336","242,768","1,656,915","1,433,627","461,798","1,120,004","967,546","311,836","35,016","20,377","27,947","33,632","49,801","60,884"
Arkansas ,2015,"284,441","36,309","90,153","137,505","20,474","1,987,819","105,945","184,126","678,452","450,886","135,029","278,975","154,406","385,391","341,615","93,033","367,499","322,906","92,184","756,815","650,789","159,014","478,114","382,438","89,150","30,983","21,608","26,241","30,020","42,828","55,490"
California ,2015,"3,943,137","490,779","1,166,501","1,904,349","381,508","26,085,263","2,582,757","2,060,753","5,430,081","5,603,279","1,992,703","5,285,754","3,129,936","5,832,712","5,078,189","1,985,160","5,190,370","4,220,860","1,801,173","9,872,623","8,019,913","3,066,436","5,189,558","4,122,791","1,562,921","37,476","20,880","29,108","36,161","57,282","80,442"
Colorado ,2015,"527,949","70,618","157,730","240,847","58,754","3,671,853","135,573","188,280","796,984","809,037","301,203","909,032","531,744","827,137","761,849","324,927","737,989","663,597","319,083","1,395,155","1,285,760","538,738","711,572","636,794","258,028","40,229","25,304","31,280","35,392","50,196","63,270"
Connecticut ,2015,"352,843","37,981","97,565","165,295","52,002","2,474,718","104,772","137,496","678,916","417,520","187,970","535,933","412,111","442,776","408,304","193,704","432,504","397,492","180,801","1,034,155","950,056","396,555","565,283","476,598","176,984","46,500","22,595","35,288","40,982","61,071","77,568"
Delaware ,2015,"89,098","12,574","27,340","39,399","9,785","652,636","24,692","47,663","194,810","130,986","52,556","117,581","84,348","124,348","109,417","40,876","110,727","98,527","39,092","256,737","233,432","79,813","160,824","138,905","42,148","40,734","25,297","30,752","36,993","52,261","65,967"
Florida ,2015,"1,774,002","290,921","526,907","800,421","155,753","14,394,281","750,053","1,031,199","4,201,879","2,935,247","1,383,565","2,620,339","1,471,999","2,593,253","2,326,010","753,931","2,463,472","2,183,771","756,030","5,392,323","4,777,006","1,525,821","3,945,233","3,326,242","1,056,556","31,662","19,735","25,474","31,137","42,714","57,128"
Georgia ,2015,"1,028,679","168,766","327,755","449,485","82,673","6,683,767","332,116","593,620","1,879,302","1,382,608","496,008","1,244,449","755,664","1,383,268","1,209,458","425,539","1,388,193","1,205,987","462,361","2,609,547","2,293,791","786,767","1,302,759","1,048,795","325,446","35,014","20,592","26,802","31,750","49,696","61,443"
Hawaii ,2015,"134,483","8,519","51,611","63,452","10,901","985,914","39,945","50,050","267,568","213,206","105,951","205,033","104,161","216,396","206,271","68,023","177,777","164,107","61,430","354,588","327,356","111,530","237,153","198,185","68,211","38,609","25,396","31,995","36,558","46,167","65,094"
Idaho ,2015,"156,767","21,822","53,986","72,765","8,194","1,065,982","39,730","66,804","292,667","287,585","102,284","189,566","87,346","216,810","195,842","54,439","204,505","183,703","60,716","401,403","365,550","102,239","243,264","214,353","59,518","31,173","20,974","26,002","29,633","42,661","57,829"
Illinois ,2015,"1,237,872","154,211","357,249","571,238","155,174","8,661,938","456,567","535,035","2,314,192","1,804,602","698,002","1,757,697","1,095,843","1,773,212","1,621,054","709,146","1,672,605","1,488,042","625,162","3,387,896","3,033,421","1,074,577","1,828,225","1,527,819","444,655","40,120","22,052","29,773","35,823","52,369","70,580"
Indiana ,2015,"676,373","107,912","211,407","293,630","63,424","4,363,573","164,941","349,195","1,496,775","900,400","364,142","697,223","390,897","842,022","745,968","247,422","822,598","739,215","235,174","1,733,629","1,558,576","423,896","965,324","805,678","181,628","35,368","21,431","30,137","32,335","46,884","60,699"
Iowa ,2015,"320,642","34,913","83,647","170,254","31,828","2,074,504","66,506","105,159","664,912","444,608","236,728","377,035","179,556","392,752","365,952","131,643","368,059","339,906","123,606","812,541","754,516","202,439","501,152","442,465","98,903","36,469","24,854","30,734","34,482","46,518","61,206"
Kansas ,2015,"302,928","37,791","89,828","148,277","27,032","1,888,479","71,948","111,806","501,278","446,076","158,308","384,495","214,568","384,499","346,055","136,905","347,230","313,155","122,064","730,698","669,840","230,446","426,052","375,675","109,648","36,727","23,174","28,715","33,462","46,436","59,574"
Kentucky ,2015,"425,719","60,373","148,269","185,156","31,921","2,988,790","183,951","260,013","1,002,541","611,050","235,061","406,865","289,309","561,502","508,192","154,242","563,472","500,163","153,497","1,189,688","1,022,517","263,036","674,128","513,954","125,399","32,495","19,482","27,326","31,285","45,058","53,986"
Louisiana ,2015,"459,284","76,591","150,433","198,157","34,103","3,095,255","159,933","316,837","1,056,533","654,211","189,683","470,739","247,319","670,600","583,410","177,467","578,072","499,048","145,998","1,192,975","1,021,180","263,418","653,608","514,847","131,175","35,208","20,694","28,713","31,959","46,367","57,131"
Maine ,2015,"112,229","13,424","34,849","53,201","10,755","961,240","27,176","52,423","314,332","184,421","93,335","187,513","102,040","151,964","141,424","49,547","152,672","145,492","51,524","406,036","376,336","112,333","250,568","218,389","76,149","33,282","20,130","27,259","32,010","41,214","54,528"
Maryland ,2015,"556,183","61,026","159,573","258,068","77,516","4,102,486","173,874","251,792","1,029,325","789,382","266,499","866,352","725,262","834,133","755,441","337,263","769,729","698,319","339,348","1,651,639","1,506,580","638,894","846,985","716,480","276,109","47,312","25,074","34,243","41,290","60,745","81,087"
