state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2022,"488,344","58,089","176,620","208,994","44,641","3,474,924","118,034","271,263","1,057,155","716,144","311,537","609,316","391,475","652,152","599,976","196,612","632,416","562,939","202,288","1,277,343","1,132,566","365,267","913,013","790,146","236,624","42,463","28,515","34,127","39,501","56,640","70,732"
Alaska ,2022,"68,620","7,801","33,068","22,097","5,654","489,218","10,950","21,719","142,455","116,078","48,370","94,168","55,478","113,900","106,921","34,079","104,911","98,920","33,975","168,933","156,577","51,058","101,474","94,131","30,534","53,582","41,145","40,651","51,499","67,321","89,202"
Arizona ,2022,"717,938","102,059","256,195","281,101","78,583","5,053,656","241,467","306,781","1,202,946","1,160,936","475,387","1,032,052","634,087","1,018,691","925,086","335,555","926,470","818,205","323,779","1,726,541","1,517,145","558,646","1,381,954","1,244,972","448,159","48,738","31,966","38,547","45,115","63,471","76,587"
Arkansas ,2022,"292,181","37,246","109,301","117,675","27,959","2,057,624","82,740","140,697","705,670","438,076","167,634","323,961","198,846","385,877","357,964","106,886","387,640","349,937","116,022","745,265","655,777","178,560","538,842","470,509","121,339","41,385","30,770","34,517","38,814","53,117","68,769"
California ,2022,"3,663,563","339,703","1,308,667","1,553,990","461,203","26,866,773","2,376,805","1,738,878","5,506,855","5,192,854","2,115,440","6,056,169","3,879,772","5,744,459","5,266,591","2,351,604","5,395,388","4,650,072","2,198,152","9,568,024","7,798,413","3,310,766","6,158,902","5,036,014","2,075,419","52,520","30,843","38,507","47,535","75,688","103,600"
Colorado ,2022,"544,827","59,947","187,892","212,694","84,294","4,084,004","114,089","170,479","823,109","762,179","339,016","1,177,891","697,241","915,942","867,474","455,316","860,355","792,774","425,135","1,392,046","1,280,829","612,473","915,661","858,359","382,208","55,648","34,357","42,245","46,542","69,493","84,468"
Connecticut ,2022,"350,593","33,078","99,270","150,389","67,856","2,545,188","100,376","115,659","660,047","405,693","197,009","584,999","481,405","450,510","425,328","212,011","460,313","422,321","210,590","970,653","891,663","401,823","663,712","589,841","241,980","58,734","31,767","41,610","49,709","75,597","92,566"
Delaware ,2022,"86,128","11,470","33,298","32,364","8,996","724,041","18,944","38,980","204,385","135,691","61,657","151,894","112,490","130,563","121,079","51,935","125,307","114,063","50,585","255,991","236,022","88,168","212,180","194,953","73,696","50,835","34,578","39,820","44,530","64,139","79,150"
Florida ,2022,"1,845,519","229,379","638,736","754,968","222,436","16,104,410","679,435","943,495","4,363,609","2,955,638","1,643,815","3,445,343","2,073,075","2,783,761","2,556,448","1,024,580","2,799,499","2,528,694","1,053,736","5,726,736","5,161,026","1,898,957","4,794,414","4,235,312","1,541,145","44,036","28,063","34,769","41,565","56,243","74,215"
Georgia ,2022,"1,074,228","151,971","387,826","406,237","128,194","7,332,980","292,438","476,498","1,979,843","1,401,114","638,973","1,519,625","1,024,489","1,483,997","1,364,671","556,176","1,469,050","1,306,503","569,020","2,735,658","2,466,192","939,825","1,644,275","1,426,678","479,093","47,625","30,325","35,880","42,139","63,803","78,550"
