id,state_id,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
1,1,2010,488349.0,0.199,0.301,0.439,0.06,3161521.0,0.062,0.117,0.313,0.218,0.071,0.139,0.08,601653.0,0.832,0.248,621094.0,0.854,0.231,1280800.0,0.851,0.226,657974.0,0.723,0.167,30406.0,17366.0,24849.0,30064.0,45502.0,52476.0
2,2,2010,75023.0,0.188,0.371,0.407,0.034,450577.0,0.028,0.061,0.253,0.296,0.082,0.185,0.094,103690.0,0.918,0.245,93460.0,0.922,0.307,200088.0,0.923,0.294,53339.0,0.829,0.244,40575.0,20087.0,30617.0,40159.0,51137.0,67634.0
3,3,2010,634568.0,0.196,0.307,0.436,0.06,4146758.0,0.063,0.081,0.251,0.265,0.081,0.167,0.092,859440.0,0.851,0.237,823770.0,0.85,0.268,1576753.0,0.873,0.274,886795.0,0.837,0.245,32106.0,17638.0,25607.0,31751.0,46091.0,60051.0
4,4,2010,291054.0,0.203,0.325,0.415,0.056,1919422.0,0.063,0.107,0.346,0.225,0.063,0.132,0.063,368047.0,0.865,0.225,371843.0,0.862,0.21,759457.0,0.854,0.196,420075.0,0.725,0.152,27498.0,18373.0,22895.0,27175.0,41102.0,54036.0
5,5,2010,3944934.0,0.173,0.276,0.473,0.078,24097200.0,0.105,0.088,0.208,0.222,0.076,0.191,0.11,5323453.0,0.829,0.307,5191065.0,0.797,0.316,9313187.0,0.819,0.306,4269495.0,0.766,0.265,35645.0,17937.0,27122.0,35735.0,52248.0,74423.0
6,6,2010,492348.0,0.154,0.289,0.443,0.113,3328045.0,0.043,0.061,0.228,0.226,0.078,0.234,0.13,728299.0,0.887,0.361,703506.0,0.894,0.394,1344602.0,0.92,0.375,551638.0,0.857,0.302,35764.0,19543.0,26852.0,32651.0,45655.0,61536.0
7,7,2010,327402.0,0.141,0.273,0.451,0.135,2434383.0,0.046,0.068,0.282,0.177,0.071,0.202,0.153,421750.0,0.895,0.395,484117.0,0.914,0.396,1020363.0,0.912,0.369,508153.0,0.8,0.257,41993.0,21807.0,31553.0,39035.0,56329.0,74050.0
8,8,2010,92921.0,0.195,0.257,0.463,0.085,600779.0,0.038,0.085,0.327,0.2,0.072,0.165,0.113,110516.0,0.855,0.31,116236.0,0.9,0.306,244557.0,0.913,0.281,129470.0,0.805,0.219,36707.0,20888.0,29043.0,36140.0,48943.0,67628.0
9,9,2010,1766628.0,0.189,0.305,0.431,0.076,13077179.0,0.057,0.088,0.299,0.212,0.086,0.166,0.092,2270950.0,0.86,0.256,2437991.0,0.878,0.276,5095039.0,0.875,0.268,3273199.0,0.803,0.23,30108.0,16904.0,23936.0,30092.0,41992.0,55005.0
10,10,2010,982443.0,0.208,0.324,0.399,0.069,6235623.0,0.058,0.099,0.293,0.21,0.068,0.175,0.098,1322903.0,0.841,0.279,1406883.0,0.879,0.313,2471939.0,0.866,0.278,1033898.0,0.741,0.199,31576.0,17175.0,25278.0,30796.0,48474.0,61061.0
11,11,2010,133032.0,0.071,0.407,0.454,0.068,926928.0,0.048,0.053,0.286,0.225,0.092,0.199,0.096,180950.0,0.947,0.284,176314.0,0.938,0.328,371538.0,0.912,0.316,198126.0,0.797,0.237,35202.0,18662.0,28921.0,33917.0,43487.0,61009.0
12,12,2010,154661.0,0.158,0.333,0.443,0.067,987829.0,0.042,0.075,0.286,0.27,0.083,0.167,0.077,209440.0,0.897,0.226,193371.0,0.893,0.283,388177.0,0.892,0.258,196841.0,0.841,0.197,27388.0,17634.0,23617.0,26330.0,39171.0,53652.0
13,13,2010,1251474.0,0.152,0.275,0.451,0.122,8465762.0,0.056,0.075,0.276,0.213,0.072,0.192,0.115,1774676.0,0.886,0.37,1727424.0,0.889,0.347,3348840.0,0.888,0.305,1614822.0,0.789,0.201,35687.0,20413.0,26860.0,32067.0,49478.0,65275.0
14,14,2010,654708.0,0.199,0.305,0.421,0.076,4229798.0,0.042,0.088,0.36,0.209,0.075,0.146,0.081,828516.0,0.875,0.269,839031.0,0.895,0.257,1719260.0,0.895,0.231,842991.0,0.792,0.147,31372.0,18744.0,26300.0,30942.0,42884.0,57526.0
15,15,2010,306424.0,0.131,0.243,0.528,0.098,2018785.0,0.039,0.055,0.337,0.218,0.1,0.171,0.079,383022.0,0.919,0.314,366296.0,0.923,0.299,816644.0,0.929,0.251,452823.0,0.838,0.152,31761.0,19631.0,26164.0,31143.0,41632.0,55940.0
16,16,2010,291662.0,0.146,0.275,0.492,0.087,1840681.0,0.044,0.064,0.278,0.242,0.074,0.193,0.105,372496.0,0.898,0.328,348844.0,0.897,0.359,740306.0,0.912,0.3,379035.0,0.84,0.207,31794.0,19937.0,25362.0,30298.0,42036.0,55046.0
17,17,2010,421622.0,0.168,0.349,0.413,0.07,2903308.0,0.077,0.104,0.343,0.202,0.068,0.124,0.081,563583.0,0.88,0.247,578077.0,0.873,0.239,1182127.0,0.836,0.203,579521.0,0.673,0.137,30294.0,17635.0,24355.0,30207.0,42150.0,51576.0
18,18,2010,480269.0,0.22,0.318,0.391,0.071,2945907.0,0.065,0.116,0.344,0.21,0.051,0.144,0.07,622584.0,0.844,0.247,573691.0,0.851,0.224,1190043.0,0.837,0.212,559589.0,0.723,0.172,31528.0,18120.0,26419.0,30827.0,45181.0,54014.0
19,19,2010,116902.0,0.131,0.343,0.44,0.086,937014.0,0.036,0.061,0.344,0.201,0.09,0.173,0.095,144557.0,0.932,0.284,171819.0,0.938,0.281,409796.0,0.933,0.285,210842.0,0.796,0.212,30965.0,19903.0,25114.0,30325.0,40932.0,52071.0
20,20,2010,560736.0,0.142,0.293,0.433,0.132,3873474.0,0.047,0.072,0.259,0.197,0.063,0.197,0.164,767284.0,0.881,0.377,794620.0,0.905,0.392,1601318.0,0.906,0.372,710252.0,0.795,0.282,44240.0,21684.0,31627.0,41279.0,55616.0,78316.0
21,21,2010,681235.0,0.118,0.264,0.457,0.161,4458898.0,0.049,0.06,0.262,0.163,0.076,0.223,0.167,844548.0,0.92,0.48,888333.0,0.922,0.448,1819901.0,0.909,0.386,906116.0,0.797,0.258,41800.0,20850.0,31030.0,37127.0,52457.0,68607.0
22,22,2010,972866.0,0.151,0.277,0.493,0.08,6569801.0,0.035,0.078,0.309,0.242,0.084,0.156,0.096,1161947.0,0.899,0.283,1277405.0,0.915,0.293,2764944.0,0.913,0.254,1365505.0,0.798,0.183,31617.0,16633.0,24180.0,30254.0,46045.0,65162.0
23,23,2010,498835.0,0.134,0.256,0.496,0.114,3528096.0,0.033,0.049,0.273,0.227,0.1,0.215,0.103,718057.0,0.929,0.375,679897.0,0.933,0.382,1443448.0,0.944,0.31,686694.0,0.837,0.214,36282.0,19579.0,27286.0,33515.0,48562.0,62378.0
