state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2010,488349.000,0.199,0.301,0.439,0.060,3161521.000,0.062,0.117,0.313,0.218,0.071,0.139,0.080,601653.000,0.832,0.248,621094.000,0.854,0.231,1280800.000,0.851,0.226,657974.000,0.723,0.167,30406.000,17366.000,24849.000,30064.000,45502.000,52476.000
Alaska ,2010,75023.000,0.188,0.371,0.407,0.034,450577.000,0.028,0.061,0.253,0.296,0.082,0.185,0.094,103690.000,0.918,0.245,93460.000,0.922,0.307,200088.000,0.923,0.294,53339.000,0.829,0.244,40575.000,20087.000,30617.000,40159.000,51137.000,67634.000
Arizona ,2010,634568.000,0.196,0.307,0.436,0.060,4146758.000,0.063,0.081,0.251,0.265,0.081,0.167,0.092,859440.000,0.851,0.237,823770.000,0.850,0.268,1576753.000,0.873,0.274,886795.000,0.837,0.245,32106.000,17638.000,25607.000,31751.000,46091.000,60051.000
Arkansas ,2010,291054.000,0.203,0.325,0.415,0.056,1919422.000,0.063,0.107,0.346,0.225,0.063,0.132,0.063,368047.000,0.865,0.225,371843.000,0.862,0.210,759457.000,0.854,0.196,420075.000,0.725,0.152,27498.000,18373.000,22895.000,27175.000,41102.000,54036.000
California ,2010,3944934.000,0.173,0.276,0.473,0.078,24097200.000,0.105,0.088,0.208,0.222,0.076,0.191,0.110,5323453.000,0.829,0.307,5191065.000,0.797,0.316,9313187.000,0.819,0.306,4269495.000,0.766,0.265,35645.000,17937.000,27122.000,35735.000,52248.000,74423.000
Colorado ,2010,492348.000,0.154,0.289,0.443,0.113,3328045.000,0.043,0.061,0.228,0.226,0.078,0.234,0.130,728299.000,0.887,0.361,703506.000,0.894,0.394,1344602.000,0.920,0.375,551638.000,0.857,0.302,35764.000,19543.000,26852.000,32651.000,45655.000,61536.000
Connecticut ,2010,327402.000,0.141,0.273,0.451,0.135,2434383.000,0.046,0.068,0.282,0.177,0.071,0.202,0.153,421750.000,0.895,0.395,484117.000,0.914,0.396,1020363.000,0.912,0.369,508153.000,0.800,0.257,41993.000,21807.000,31553.000,39035.000,56329.000,74050.000
Delaware ,2010,92921.000,0.195,0.257,0.463,0.085,600779.000,0.038,0.085,0.327,0.200,0.072,0.165,0.113,110516.000,0.855,0.310,116236.000,0.900,0.306,244557.000,0.913,0.281,129470.000,0.805,0.219,36707.000,20888.000,29043.000,36140.000,48943.000,67628.000
Florida ,2010,1766628.000,0.189,0.305,0.431,0.076,13077179.000,0.057,0.088,0.299,0.212,0.086,0.166,0.092,2270950.000,0.860,0.256,2437991.000,0.878,0.276,5095039.000,0.875,0.268,3273199.000,0.803,0.230,30108.000,16904.000,23936.000,30092.000,41992.000,55005.000
Georgia ,2010,982443.000,0.208,0.324,0.399,0.069,6235623.000,0.058,0.099,0.293,0.210,0.068,0.175,0.098,1322903.000,0.841,0.279,1406883.000,0.879,0.313,2471939.000,0.866,0.278,1033898.000,0.741,0.199,31576.000,17175.000,25278.000,30796.000,48474.000,61061.000
Hawaii ,2010,133032.000,0.071,0.407,0.454,0.068,926928.000,0.048,0.053,0.286,0.225,0.092,0.199,0.096,180950.000,0.947,0.284,176314.000,0.938,0.328,371538.000,0.912,0.316,198126.000,0.797,0.237,35202.000,18662.000,28921.000,33917.000,43487.000,61009.000
Idaho ,2010,154661.000,0.158,0.333,0.443,0.067,987829.000,0.042,0.075,0.286,0.270,0.083,0.167,0.077,209440.000,0.897,0.226,193371.000,0.893,0.283,388177.000,0.892,0.258,196841.000,0.841,0.197,27388.000,17634.000,23617.000,26330.000,39171.000,53652.000
Illinois ,2010,1251474.000,0.152,0.275,0.451,0.122,8465762.000,0.056,0.075,0.276,0.213,0.072,0.192,0.115,1774676.000,0.886,0.370,1727424.000,0.889,0.347,3348840.000,0.888,0.305,1614822.000,0.789,0.201,35687.000,20413.000,26860.000,32067.000,49478.000,65275.000
