state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Alabama ,2022,488344.0,0.119,0.362,0.428,0.091,3474924.0,0.034,0.078,0.304,0.206,0.09,0.175,0.113,652152.0,0.92,0.301,632416.0,0.89,0.32,1277343.0,0.887,0.286,913013.0,0.865,0.259,1.0,28515.0,34127.0,39501.0,56640.0,70732.0
Alaska ,2022,68620.0,0.114,0.482,0.322,0.082,489218.0,0.022,0.044,0.291,0.237,0.099,0.192,0.113,113900.0,0.939,0.299,104911.0,0.943,0.324,168933.0,0.927,0.302,101474.0,0.928,0.301,1.0,41145.0,40651.0,51499.0,67321.0,89202.0
Arizona ,2022,717938.0,0.142,0.357,0.392,0.109,5053656.0,0.048,0.061,0.238,0.23,0.094,0.204,0.125,1018691.0,0.908,0.329,926470.0,0.883,0.349,1726541.0,0.879,0.324,1381954.0,0.901,0.324,1.0,31966.0,38547.0,45115.0,63471.0,76587.0
Arkansas ,2022,292181.0,0.127,0.374,0.403,0.096,2057624.0,0.04,0.068,0.343,0.213,0.081,0.157,0.097,385877.0,0.928,0.277,387640.0,0.903,0.299,745265.0,0.88,0.24,538842.0,0.873,0.225,1.0,30770.0,34517.0,38814.0,53117.0,68769.0
California ,2022,3663563.0,0.093,0.357,0.424,0.126,26866773.0,0.088,0.065,0.205,0.193,0.079,0.225,0.144,5744459.0,0.917,0.409,5395388.0,0.862,0.407,9568024.0,0.815,0.346,6158902.0,0.818,0.337,1.0,30843.0,38507.0,47535.0,75688.0,103600.0
Colorado ,2022,544827.0,0.11,0.345,0.39,0.155,4084004.0,0.028,0.042,0.202,0.187,0.083,0.288,0.171,915942.0,0.947,0.497,860355.0,0.921,0.494,1392046.0,0.92,0.44,915661.0,0.937,0.417,1.0,34357.0,42245.0,46542.0,69493.0,84468.0
Connecticut ,2022,350593.0,0.094,0.283,0.429,0.194,2545188.0,0.039,0.045,0.259,0.159,0.077,0.23,0.189,450510.0,0.944,0.471,460313.0,0.917,0.457,970653.0,0.919,0.414,663712.0,0.889,0.365,1.0,31767.0,41610.0,49709.0,75597.0,92566.0
Delaware ,2022,86128.0,0.133,0.387,0.376,0.104,724041.0,0.026,0.054,0.282,0.187,0.085,0.21,0.155,130563.0,0.927,0.398,125307.0,0.91,0.404,255991.0,0.922,0.344,212180.0,0.919,0.347,1.0,34578.0,39820.0,44530.0,64139.0,79150.0
Florida ,2022,1845519.0,0.124,0.346,0.409,0.121,16104410.0,0.042,0.059,0.271,0.184,0.102,0.214,0.129,2783761.0,0.918,0.368,2799499.0,0.903,0.376,5726736.0,0.901,0.332,4794414.0,0.883,0.321,1.0,28063.0,34769.0,41565.0,56243.0,74215.0
Georgia ,2022,1074228.0,0.141,0.361,0.378,0.119,7332980.0,0.04,0.065,0.27,0.191,0.087,0.207,0.14,1483997.0,0.92,0.375,1469050.0,0.889,0.387,2735658.0,0.901,0.344,1644275.0,0.868,0.291,1.0,30325.0,35880.0,42139.0,63803.0,78550.0
Hawaii ,2022,119487.0,0.092,0.431,0.352,0.125,1023843.0,0.032,0.039,0.268,0.196,0.111,0.221,0.133,190091.0,0.943,0.348,192131.0,0.946,0.391,346967.0,0.937,0.356,294654.0,0.899,0.332,1.0,29829.0,41441.0,46737.0,61880.0,79653.0
Idaho ,2022,194235.0,0.132,0.369,0.416,0.083,1280178.0,0.035,0.045,0.26,0.239,0.098,0.214,0.108,250343.0,0.937,0.336,256103.0,0.916,0.356,444202.0,0.905,0.308,329530.0,0.931,0.307,1.0,35192.0,37406.0,40546.0,54796.0,72869.0
Illinois ,2022,1172987.0,0.106,0.35,0.379,0.164,8692839.0,0.046,0.05,0.252,0.191,0.084,0.225,0.152,1689818.0,0.946,0.449,1673268.0,0.911,0.444,3164813.0,0.893,0.355,2164940.0,0.882,0.3,1.0,31826.0,38766.0,44169.0,68489.0,84140.0
Indiana ,2022,679203.0,0.145,0.378,0.367,0.111,4584460.0,0.036,0.062,0.321,0.192,0.093,0.19,0.106,886951.0,0.905,0.341,866145.0,0.901,0.353,1673938.0,0.906,0.282,1157426.0,0.895,0.239,1.0,32019.0,38553.0,44403.0,58609.0,73559.0
Iowa ,2022,324258.0,0.103,0.313,0.46,0.124,2159511.0,0.025,0.041,0.295,0.197,0.12,0.215,0.108,401666.0,0.937,0.366,405073.0,0.93,0.395,763893.0,0.935,0.309,588879.0,0.935,0.262,1.0,32968.0,39439.0,45837.0,58561.0,73926.0
Kansas ,2022,304047.0,0.116,0.345,0.428,0.111,1944891.0,0.036,0.044,0.253,0.221,0.091,0.22,0.137,377319.0,0.935,0.382,382629.0,0.918,0.397,678601.0,0.912,0.352,506342.0,0.924,0.311,1.0,32838.0,36659.0,42026.0,58583.0,70216.0
