state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2021,"468,727","62,982","170,023","193,079","42,643","3,451,208","127,052","289,415","1,079,285","705,662","303,028","572,276","374,490","633,583","574,352","185,081","637,640","563,773","198,592","1,294,176","1,135,910","347,848","885,809","760,706","215,245","40,362","25,395","31,997","36,662","52,385","65,470"
Alaska ,2021,"67,493","8,915","33,691","22,510","2,377","485,779","10,548","21,942","135,473","118,250","40,276","101,422","57,868","112,341","105,320","33,270","102,955","97,463","35,727","172,073","159,970","56,342","98,410","90,536","33,951","50,554","31,565","39,150","44,785","60,141","80,892"
Arizona ,2021,"681,735","100,200","244,573","265,391","71,571","4,980,297","233,638","315,725","1,168,057","1,180,491","467,305","985,673","629,408","1,000,536","911,690","327,026","915,424","812,344","317,560","1,730,352","1,511,462","539,548","1,333,985","1,195,438","430,947","44,330","30,289","35,309","41,543","57,474","74,205"
Arkansas ,2021,"284,335","32,652","113,873","110,277","27,533","2,037,763","90,660","140,230","695,062","435,235","161,542","324,137","190,897","384,776","353,400","104,153","383,984","343,109","112,379","743,850","655,373","176,471","525,153","454,991","122,031","37,936","28,714","31,600","35,644","51,046","63,107"
California ,2021,"3,558,188","339,462","1,215,035","1,568,917","434,774","26,909,869","2,380,657","1,804,222","5,578,997","5,287,901","2,120,275","5,958,030","3,779,787","5,827,869","5,329,062","2,320,502","5,414,686","4,620,304","2,149,393","9,702,788","7,888,593","3,293,719","5,964,526","4,887,031","1,974,203","50,014","28,501","36,311","43,044","71,142","99,341"
Colorado ,2021,"525,940","64,754","184,891","202,204","74,091","4,044,182","135,031","170,943","814,373","793,438","334,157","1,107,309","688,931","901,297","850,186","427,757","850,293","777,691","400,071","1,412,425","1,294,342","617,064","880,167","815,989","351,348","51,409","32,220","39,362","42,459","63,777","79,017"
Connecticut ,2021,"343,982","30,802","106,131","144,518","62,531","2,534,376","108,438","116,753","646,776","406,668","188,070","587,690","479,981","450,863","426,557","209,783","451,126","409,677","216,110","983,215","900,435","409,643","649,172","572,516","232,135","53,008","30,190","39,819","45,344","69,915","88,250"
Delaware ,2021,"83,763","10,372","30,317","35,184","7,890","711,104","23,325","38,141","201,366","128,883","66,097","146,295","106,997","128,564","117,440","46,158","122,088","110,823","47,948","258,901","236,073","91,014","201,551","185,302","68,172","47,422","30,387","34,262","43,479","61,378","73,888"
Florida ,2021,"1,731,183","229,099","586,777","715,710","199,597","15,762,122","691,119","917,424","4,363,466","2,980,763","1,582,504","3,248,221","1,978,625","2,738,541","2,519,890","920,127","2,728,862","2,454,607","1,008,687","5,695,723","5,117,907","1,847,419","4,598,996","4,061,175","1,450,613","40,465","25,755","31,711","37,236","51,381","67,954"
Georgia ,2021,"1,043,171","148,752","389,938","389,304","115,177","7,234,271","303,973","493,904","1,930,376","1,391,372","609,570","1,514,014","991,062","1,464,846","1,338,028","536,448","1,448,368","1,292,643","556,067","2,735,370","2,438,956","937,379","1,585,687","1,366,767","475,182","43,055","27,341","32,398","38,476","60,454","72,973"
Hawaii ,2021,"115,665","7,618","50,012","42,109","15,926","1,021,687","33,927","38,284","269,095","206,891","112,809","226,849","133,832","197,767","188,892","68,269","190,893","182,202","77,544","350,460","325,490","120,898","282,567","252,892","93,970","44,841","28,885","35,586","41,095","55,171","73,122"
Idaho ,2021,"173,371","22,997","70,741","68,045","11,588","1,257,566","39,820","70,093","338,282","296,583","126,524","253,762","132,502","246,440","228,832","75,843","253,434","232,351","82,913","443,682","399,643","133,489","314,010","286,827","94,019","40,800","30,768","32,925","37,877","50,581","68,649"
Illinois ,2021,"1,140,595","120,804","370,612","463,253","185,926","8,730,697","399,073","458,931","2,194,993","1,707,785","727,336","1,932,282","1,310,297","1,705,429","1,599,545","752,631","1,684,439","1,525,482","736,415","3,237,520","2,898,761","1,125,952","2,103,309","1,848,905","627,581","48,354","29,695","35,334","41,652","63,725","81,737"
Indiana ,2021,"660,956","88,602","241,977","252,407","77,970","4,559,631","165,167","261,567","1,517,996","883,706","414,408","843,069","473,718","882,725","810,184","289,678","871,732","786,345","301,531","1,689,595","1,539,126","467,995","1,115,579","997,242","257,583","42,955","30,634","36,144","40,528","54,525","70,183"
Iowa ,2021,"318,834","34,635","97,952","149,572","36,675","2,137,261","58,639","84,027","646,672","439,725","255,456","441,878","210,864","390,807","370,453","138,984","408,966","380,867","147,891","769,907","717,253","227,290","567,581","526,022","138,577","44,644","32,775","36,727","41,100","55,434","70,977"
Kansas ,2021,"290,243","34,672","92,235","127,111","36,225","1,942,133","67,255","90,167","493,645","436,039","167,575","427,464","259,988","376,531","347,395","138,908","378,985","343,364","153,148","696,941","639,799","246,601","489,676","454,153","148,795","44,350","30,885","34,137","40,240","55,916","67,095"
Kentucky ,2021,"416,072","43,002","161,223","164,290","47,557","3,077,867","143,467","226,253","1,007,954","594,071","275,708","488,546","341,868","582,979","532,406","183,109","573,400","518,894","191,226","1,153,072","1,013,575","284,367","768,416","643,272","171,712","40,448","25,571","32,207","37,420","51,906","62,124"
Louisiana ,2021,"424,818","63,224","163,451","161,712","36,431","3,117,186","134,092","281,205","1,023,442","642,841","211,237","523,475","300,894","610,641","545,716","176,142","621,977","550,331","187,995","1,118,238","963,620","278,663","766,330","642,222","181,569","40,562","26,784","31,701","36,877","52,491","63,934"
Maine ,2021,"107,494","10,014","41,698","45,772","10,010","1,015,078","19,053","36,492","300,595","186,486","107,147","224,987","140,318","165,666","159,604","65,421","167,449","160,446","69,206","384,862","363,201","125,672","297,101","276,282","105,006","44,074","34,255","36,407","40,542","51,486","68,177"
Maryland ,2021,"531,772","59,513","173,735","208,756","89,768","4,273,260","160,195","220,623","1,019,047","760,351","294,842","956,533","861,669","816,525","758,346","360,371","829,291","754,483","398,473","1,624,061","1,481,512","679,412","1,003,383","898,101","379,946","56,979","29,480","40,160","48,351","71,896","93,565"
Massachusetts ,2021,"688,028","66,345","209,155","279,895","132,633","4,934,755","222,572","216,620","1,124,134","694,438","376,568","1,250,748","1,049,675","979,614","933,106","568,200","899,535","829,029","474,600","1,839,159","1,666,125","797,685","1,216,447","1,067,303","459,938","59,269","30,956","40,724","47,201","71,344","90,944"
Michigan ,2021,"926,979","108,370","318,898","386,921","112,790","6,971,895","174,829","385,469","2,003,265","1,519,839","680,323","1,338,162","870,008","1,314,354","1,219,688","468,693","1,214,574","1,120,057","450,117","2,619,683","2,414,805","809,023","1,823,284","1,657,047","480,337","43,495","26,888","32,639","39,894","59,740","75,841"
Minnesota ,2021,"499,667","57,940","156,547","218,149","67,031","3,898,742","103,264","125,583","909,518","784,209","459,742","993,883","522,543","742,562","706,655","338,766","770,652","724,876","345,552","1,426,256","1,344,721","530,312","959,272","893,643","301,796","50,872","30,394","37,474","45,192","63,482","80,120"
Mississippi ,2021,"289,913","39,991","99,518","125,586","24,818","1,968,167","93,609","172,380","586,187","428,485","199,843","303,656","184,007","356,944","321,633","95,593","383,035","334,063","100,923","731,243","633,212","172,816","496,945","413,270","118,331","37,148","26,126","31,810","33,729","45,353","59,223"
Missouri ,2021,"558,016","65,973","187,113","233,565","71,365","4,226,634","107,977","247,408","1,303,894","875,875","350,837","823,215","517,428","800,642","752,652","297,768","796,300","733,395","290,118","1,544,924","1,413,958","473,779","1,084,768","971,244","278,978","42,084","26,315","33,899","39,481","53,855","65,480"
Montana ,2021,"102,666","10,907","40,818","38,138","12,803","766,758","10,816","32,492","205,527","181,671","69,432","171,377","95,443","139,869","131,028","50,809","140,486","133,338","56,191","269,105","253,971","90,795","217,298","205,113","69,025","40,537","22,977","33,327","36,712","50,126","65,176"
Nebraska ,2021,"188,954","22,296","56,117","82,348","28,193","1,292,536","48,334","52,981","325,200","281,018","139,742","286,510","158,751","252,836","234,005","104,593","258,269","236,960","103,066","458,598","423,396","151,157","322,833","296,860","86,445","44,532","31,507","35,527","40,907","53,663","69,714"
Nevada ,2021,"253,546","34,686","108,700","89,338","20,822","2,192,826","129,108","152,545","597,385","512,526","196,636","393,208","211,418","451,763","404,850","124,839","433,819","374,587","128,095","787,676","673,621","207,536","519,568","458,115","144,156","41,237","30,979","35,697","40,173","52,227","71,112"
New Hampshire ,2021,"124,420","10,358","42,732","53,161","18,169","1,008,318","21,138","34,942","267,904","179,257","99,262","247,356","158,459","178,294","171,979","79,506","166,486","157,919","74,360","395,797","373,249","152,629","267,741","249,091","99,320","51,953","35,895","41,699","45,391","64,230","78,476"
New Jersey ,2021,"771,827","73,441","237,931","310,909","149,546","6,474,427","291,610","292,323","1,649,422","996,422","454,004","1,664,353","1,126,293","1,185,697","1,125,923","598,205","1,223,127","1,121,713","619,606","2,501,982","2,278,412","1,037,159","1,563,621","1,364,446","535,676","56,121","28,336","37,180","46,071","71,258","94,788"
New Mexico ,2021,"193,520","37,026","71,601","69,036","15,857","1,450,549","73,938","107,656","372,497","328,792","131,736","231,745","204,185","279,475","250,916","76,068","273,961","236,665","80,508","505,316","440,594","151,393","391,797","340,780","127,961","39,826","22,117","32,058","36,168","49,976","69,168"
New York ,2021,"1,745,253","166,480","519,638","727,819","331,316","13,987,094","822,952","850,628","3,409,426","2,081,639","1,238,762","3,105,839","2,477,848","2,793,961","2,596,693","1,387,092","2,556,851","2,278,321","1,190,138","5,158,945","4,516,581","1,882,140","3,477,337","2,921,919","1,124,317","50,570","27,130","35,242","42,154","64,928","82,907"
North Carolina ,2021,"1,005,784","107,578","344,120","428,964","125,122","7,245,632","292,845","453,642","1,802,594","1,436,943","729,951","1,573,681","955,976","1,376,664","1,274,369","532,966","1,350,937","1,203,266","538,773","2,721,662","2,444,272","928,607","1,796,369","1,577,238","529,311","42,244","26,097","32,075","37,845","55,494","70,335"
North Dakota ,2021,"85,620","8,275","24,278","41,767","11,300","506,739","14,330","17,977","133,316","106,798","73,471","113,314","47,533","110,330","105,772","40,399","100,570","95,369","36,568","171,999","161,099","52,939","123,840","112,192","30,941","46,025","30,064","39,631","42,412","54,510","67,774"
Ohio ,2021,"1,058,634","123,833","396,138","407,343","131,320","8,117,973","219,901","450,413","2,664,759","1,561,547","727,443","1,536,624","957,286","1,539,983","1,435,731","555,479","1,460,736","1,349,395","536,891","3,014,685","2,775,959","885,447","2,102,569","1,886,574","516,093","43,794","28,017","35,087","40,348","58,453","74,866"
Oklahoma ,2021,"388,812","58,191","156,286","143,648","30,687","2,639,889","102,238","195,776","811,661","578,915","214,116","483,168","254,015","529,075","476,829","150,614","528,611","466,757","159,564","937,029","825,854","252,613","645,174","572,435","174,392","40,163","27,597","31,976","37,329","50,771","65,294"
Oregon ,2021,"356,854","45,421","128,564","147,135","35,734","3,030,635","99,327","146,935","664,591","746,945","271,776","680,306","420,755","595,688","555,375","226,183","594,829","544,169","246,012","1,050,222","950,669","357,737","789,896","734,160","271,129","45,562","31,335","36,031","40,827","57,419","78,702"
