state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2011,485274.000,0.177,0.291,0.463,0.069,3193078.000,0.056,0.117,0.309,0.222,0.074,0.139,0.084,609611.000,0.843,0.248,613286.000,0.856,0.247,1296391.000,0.854,0.225,673790.000,0.735,0.173,30910.000,19049.000,25069.000,30318.000,44800.000,54200.000
Alaska ,2011,77633.000,0.185,0.359,0.402,0.054,456862.000,0.031,0.052,0.281,0.299,0.074,0.169,0.095,106279.000,0.934,0.240,93356.000,0.935,0.305,198860.000,0.931,0.260,58367.000,0.814,0.252,40812.000,22342.000,32173.000,40478.000,50422.000,69222.000
Arizona ,2011,647258.000,0.190,0.305,0.441,0.064,4211223.000,0.062,0.081,0.246,0.262,0.083,0.171,0.095,866715.000,0.858,0.254,824699.000,0.840,0.275,1596656.000,0.872,0.272,923153.000,0.845,0.258,32165.000,17925.000,24995.000,32066.000,46485.000,57249.000
Arkansas ,2011,283366.000,0.155,0.327,0.455,0.063,1943427.000,0.062,0.100,0.357,0.220,0.058,0.131,0.072,382514.000,0.869,0.227,365721.000,0.873,0.232,766567.000,0.854,0.202,428625.000,0.750,0.159,28700.000,18392.000,24009.000,27926.000,42220.000,56579.000
California ,2011,3980604.000,0.158,0.288,0.472,0.082,24443872.000,0.103,0.086,0.211,0.221,0.077,0.192,0.111,5404486.000,0.842,0.305,5169975.000,0.800,0.324,9471358.000,0.819,0.305,4398053.000,0.769,0.272,35561.000,18261.000,26941.000,35303.000,52824.000,76253.000
Colorado ,2011,500909.000,0.159,0.284,0.451,0.105,3387310.000,0.040,0.058,0.224,0.228,0.083,0.233,0.134,744951.000,0.900,0.374,709547.000,0.894,0.395,1357315.000,0.924,0.375,575497.000,0.864,0.305,36435.000,21397.000,28344.000,33581.000,46180.000,60987.000
Connecticut ,2011,332686.000,0.145,0.283,0.446,0.127,2444403.000,0.044,0.065,0.277,0.179,0.073,0.205,0.157,428130.000,0.906,0.392,467003.000,0.916,0.407,1033956.000,0.915,0.370,515314.000,0.807,0.279,42417.000,21965.000,32869.000,38371.000,56878.000,75875.000
Delaware ,2011,91390.000,0.162,0.274,0.462,0.103,611120.000,0.047,0.083,0.316,0.196,0.070,0.171,0.117,114197.000,0.852,0.315,114001.000,0.903,0.329,249010.000,0.900,0.282,133912.000,0.800,0.244,38386.000,22072.000,31824.000,37279.000,50310.000,66546.000
Florida ,2011,1795011.000,0.177,0.302,0.444,0.077,13267581.000,0.056,0.084,0.304,0.208,0.089,0.165,0.093,2328282.000,0.871,0.261,2408924.000,0.883,0.284,5170980.000,0.878,0.264,3359395.000,0.806,0.230,30608.000,17182.000,24452.000,30565.000,41888.000,57025.000
Georgia ,2011,1018180.000,0.205,0.312,0.409,0.073,6308961.000,0.058,0.098,0.293,0.208,0.067,0.177,0.098,1326493.000,0.853,0.290,1403082.000,0.873,0.317,2503491.000,0.861,0.278,1075895.000,0.751,0.199,31837.000,17318.000,25312.000,30840.000,48405.000,60916.000
Hawaii ,2011,130941.000,0.101,0.381,0.443,0.075,939512.000,0.044,0.050,0.285,0.230,0.100,0.192,0.099,192625.000,0.943,0.286,176023.000,0.946,0.294,367395.000,0.921,0.313,203469.000,0.809,0.253,35763.000,21880.000,29958.000,35088.000,44453.000,56555.000
Idaho ,2011,158872.000,0.141,0.325,0.478,0.056,998460.000,0.045,0.069,0.275,0.269,0.089,0.175,0.078,206376.000,0.900,0.248,195100.000,0.892,0.282,392698.000,0.904,0.266,204286.000,0.832,0.203,28197.000,17253.000,23915.000,26851.000,37394.000,54951.000
Illinois ,2011,1251025.000,0.149,0.283,0.446,0.122,8521694.000,0.056,0.072,0.276,0.213,0.073,0.193,0.117,1781187.000,0.896,0.376,1712435.000,0.889,0.356,3385477.000,0.889,0.304,1642595.000,0.793,0.205,36083.000,20592.000,27112.000,32718.000,50498.000,65860.000
Indiana ,2011,664206.000,0.184,0.309,0.427,0.080,4255459.000,0.042,0.086,0.355,0.209,0.079,0.148,0.082,830830.000,0.875,0.270,834977.000,0.891,0.268,1733160.000,0.897,0.228,856492.000,0.802,0.159,32210.000,18587.000,27070.000,31682.000,44013.000,59897.000
Iowa ,2011,311252.000,0.122,0.254,0.524,0.099,2027201.000,0.037,0.057,0.331,0.213,0.105,0.177,0.081,386830.000,0.928,0.335,361560.000,0.927,0.302,820621.000,0.927,0.257,458190.000,0.836,0.160,32876.000,21529.000,26876.000,31885.000,42380.000,57381.000
Kansas ,2011,296731.000,0.137,0.255,0.518,0.091,1852094.000,0.041,0.058,0.279,0.246,0.074,0.197,0.104,374545.000,0.910,0.335,349047.000,0.895,0.338,746543.000,0.919,0.309,381959.000,0.859,0.220,32446.000,21372.000,25818.000,30854.000,42277.000,54985.000
Kentucky ,2011,422007.000,0.158,0.319,0.458,0.065,2922350.000,0.070,0.100,0.341,0.209,0.070,0.123,0.088,564651.000,0.883,0.248,568172.000,0.877,0.245,1195566.000,0.856,0.209,593961.000,0.684,0.145,30628.000,18053.000,25244.000,29425.000,42212.000,52071.000
Louisiana ,2011,482851.000,0.205,0.307,0.422,0.066,2972737.000,0.061,0.114,0.345,0.217,0.052,0.140,0.071,632061.000,0.851,0.239,570119.000,0.858,0.232,1199261.000,0.841,0.204,571296.000,0.729,0.174,31981.000,18760.000,26795.000,31160.000,45660.000,53647.000
Maine ,2011,115329.000,0.115,0.311,0.464,0.109,942537.000,0.034,0.057,0.334,0.203,0.089,0.179,0.105,144778.000,0.930,0.312,167184.000,0.945,0.306,413267.000,0.934,0.294,217308.000,0.821,0.229,30912.000,18557.000,25367.000,29205.000,40874.000,52256.000
Maryland ,2011,566000.000,0.130,0.292,0.458,0.120,3915657.000,0.043,0.069,0.258,0.199,0.063,0.204,0.165,779561.000,0.901,0.389,779861.000,0.909,0.416,1624476.000,0.913,0.370,731759.000,0.802,0.295,45297.000,22922.000,32233.000,41041.000,56853.000,77166.000
Massachusetts ,2011,680381.000,0.114,0.266,0.476,0.145,4502048.000,0.050,0.058,0.259,0.164,0.078,0.223,0.168,863319.000,0.921,0.481,867088.000,0.915,0.439,1849732.000,0.909,0.391,921909.000,0.810,0.264,42086.000,22047.000,30947.000,37345.000,53764.000,70327.000
Michigan ,2011,994778.000,0.151,0.281,0.480,0.087,6588324.000,0.035,0.077,0.308,0.239,0.084,0.157,0.099,1168784.000,0.902,0.285,1244067.000,0.915,0.304,2787603.000,0.910,0.255,1387870.000,0.808,0.191,31895.000,17171.000,24625.000,30229.000,46188.000,64207.000
Minnesota ,2011,506399.000,0.129,0.258,0.502,0.112,3560801.000,0.033,0.047,0.269,0.224,0.103,0.218,0.105,725526.000,0.927,0.381,668881.000,0.936,0.387,1465311.000,0.943,0.313,701083.000,0.851,0.226,37035.000,19598.000,29201.000,34514.000,48777.000,65331.000
Mississippi ,2011,313863.000,0.191,0.299,0.450,0.060,1912708.000,0.066,0.123,0.302,0.227,0.083,0.126,0.073,377837.000,0.837,0.206,382042.000,0.847,0.222,765806.000,0.827,0.203,387023.000,0.721,0.160,28901.000,17724.000,24060.000,28421.000,39605.000,50325.000
Missouri ,2011,588439.000,0.152,0.294,0.463,0.091,4008554.000,0.039,0.085,0.314,0.229,0.071,0.164,0.097,785188.000,0.904,0.312,739399.000,0.895,0.300,1629363.000,0.895,0.260,854604.000,0.797,0.182,31744.000,18165.000,25921.000,30564.000,42271.000,54139.000
Montana ,2011,98335.000,0.123,0.340,0.446,0.091,676793.000,0.020,0.057,0.305,0.251,0.084,0.196,0.086,125005.000,0.936,0.310,110809.000,0.960,0.338,290003.000,0.933,0.273,150976.000,0.864,0.235,28035.000,17381.000,22139.000,26967.000,35675.000,48937.000
Nebraska ,2011,185903.000,0.126,0.258,0.520,0.096,1196112.000,0.039,0.051,0.290,0.244,0.096,0.189,0.091,245845.000,0.908,0.320,220770.000,0.909,0.337,479700.000,0.932,0.281,249797.000,0.870,0.185,32247.000,21291.000,26501.000,31157.000,41573.000,55169.000
Nevada ,2011,249259.000,0.211,0.326,0.411,0.052,1810960.000,0.064,0.096,0.292,0.252,0.072,0.149,0.076,386245.000,0.829,0.204,382434.000,0.822,0.217,702641.000,0.860,0.239,339640.000,0.830,0.229,31825.000,22536.000,27280.000,32693.000,44825.000,61646.000
New Hampshire ,2011,124318.000,0.110,0.309,0.475,0.105,914207.000,0.028,0.058,0.293,0.192,0.095,0.210,0.124,146192.000,0.924,0.373,174290.000,0.935,0.366,409135.000,0.937,0.342,184590.000,0.834,0.256,40012.000,22791.000,32070.000,35719.000,50739.000,64565.000
New Jersey ,2011,774117.000,0.130,0.289,0.453,0.129,6004613.000,0.056,0.063,0.294,0.173,0.061,0.220,0.133,1122087.000,0.912,0.402,1217006.000,0.900,0.406,2458742.000,0.902,0.362,1206778.000,0.791,0.235,44110.000,21130.000,31475.000,40421.000,60107.000,80822.000
New Mexico ,2011,210285.000,0.215,0.275,0.460,0.050,1354186.000,0.073,0.096,0.266,0.236,0.075,0.144,0.111,274404.000,0.841,0.210,245291.000,0.838,0.254,551434.000,0.857,0.280,283057.000,0.768,0.254,29842.000,18307.000,23604.000,27710.000,41808.000,53957.000
New York ,2011,1987871.000,0.148,0.256,0.458,0.139,13197704.000,0.068,0.081,0.275,0.163,0.083,0.187,0.142,2708911.000,0.883,0.415,2566794.000,0.872,0.367,5257079.000,0.868,0.316,2664920.000,0.761,0.233,37958.000,19253.000,28405.000,35937.000,51446.000,68079.000
North Carolina ,2011,967902.000,0.170,0.298,0.453,0.078,6399357.000,0.057,0.095,0.273,0.218,0.087,0.178,0.092,1246395.000,0.854,0.295,1319454.000,0.875,0.309,2557552.000,0.876,0.268,1275956.000,0.754,0.205,31048.000,17028.000,24849.000,30326.000,42842.000,57828.000
North Dakota ,2011,84509.000,0.093,0.278,0.544,0.085,448145.000,0.045,0.048,0.269,0.244,0.131,0.193,0.070,93441.000,0.951,0.342,75277.000,0.944,0.318,180971.000,0.950,0.261,98456.000,0.758,0.150,33533.000,25026.000,29454.000,31754.000,40475.000,56753.000
Ohio ,2011,1103343.000,0.157,0.305,0.454,0.084,7749236.000,0.033,0.084,0.348,0.211,0.078,0.154,0.092,1421908.000,0.903,0.295,1451623.000,0.915,0.290,3227871.000,0.905,0.243,1647834.000,0.795,0.174,32770.000,17615.000,26714.000,31513.000,46594.000,61626.000
Oklahoma ,2011,386679.000,0.187,0.333,0.412,0.069,2469196.000,0.048,0.089,0.314,0.241,0.070,0.160,0.078,512454.000,0.871,0.250,466418.000,0.880,0.261,972934.000,0.883,0.247,517390.000,0.803,0.189,30785.000,17793.000,25283.000,30094.000,41779.000,51631.000
Oregon ,2011,365085.000,0.155,0.301,0.467,0.077,2644754.000,0.042,0.065,0.251,0.268,0.082,0.184,0.109,530964.000,0.887,0.298,501136.000,0.882,0.317,1059533.000,0.914,0.295,553121.000,0.870,0.264,30926.000,18632.000,24300.000,29568.000,41282.000,55846.000
Pennsylvania ,2011,1267737.000,0.135,0.307,0.447,0.110,8714235.000,0.036,0.077,0.375,0.166,0.076,0.166,0.104,1536268.000,0.915,0.352,1581638.000,0.920,0.320,3613911.000,0.910,0.266,1982418.000,0.793,0.173,35178.000,20095.000,27896.000,33393.000,47252.000,64118.000
Rhode Island ,2011,119962.000,0.116,0.259,0.497,0.128,712266.000,0.064,0.088,0.264,0.189,0.084,0.188,0.123,129313.000,0.889,0.352,134224.000,0.885,0.340,295052.000,0.872,0.331,153677.000,0.733,0.214,38943.000,23042.000,29787.000,36795.000,50327.000,68393.000
South Carolina ,2011,486685.000,0.182,0.316,0.434,0.068,3110532.000,0.056,0.103,0.307,0.208,0.086,0.156,0.084,590872.000,0.864,0.262,605218.000,0.877,0.265,1259555.000,0.862,0.232,654887.000,0.750,0.216,30559.000,17645.000,24579.000,30343.000,40976.000,54100.000
South Dakota ,2011,84645.000,0.166,0.278,0.498,0.058,537588.000,0.041,0.053,0.314,0.231,0.097,0.182,0.081,104412.000,0.916,0.311,96172.000,0.932,0.286,216979.000,0.934,0.261,120025.000,0.826,0.209,31546.000,21954.000,26683.000,30719.000,38775.000,47224.000
Tennessee ,2011,618507.000,0.138,0.368,0.418,0.075,4294392.000,0.061,0.097,0.334,0.212,0.060,0.153,0.083,831963.000,0.887,0.270,841710.000,0.888,0.275,1741686.000,0.863,0.234,879033.000,0.717,0.171,30842.000,17700.000,24688.000,30663.000,41627.000,54857.000
Texas ,2011,2642608.000,0.193,0.295,0.441,0.071,16074391.000,0.095,0.094,0.255,0.226,0.065,0.177,0.087,3671399.000,0.837,0.268,3512490.000,0.816,0.282,6182677.000,0.824,0.273,2707825.000,0.738,0.217,32769.000,17945.000,26008.000,32809.000,50441.000,63542.000
Utah ,2011,327475.000,0.121,0.286,0.536,0.057,1608668.000,0.032,0.065,0.237,0.277,0.092,0.201,0.097,441878.000,0.902,0.293,347367.000,0.893,0.315,561099.000,0.918,0.305,258324.000,0.889,0.264,32990.000,19956.000,27499.000,30387.000,41910.000,61989.000
Vermont ,2011,65858.000,0.084,0.254,0.548,0.114,434652.000,0.028,0.055,0.302,0.178,0.084,0.214,0.140,70364.000,0.938,0.387,77416.000,0.932,0.383,193231.000,0.939,0.361,93641.000,0.845,0.290,33654.000,22660.000,26742.000,33603.000,37995.000,50593.000
Virginia ,2011,824667.000,0.123,0.294,0.461,0.121,5418844.000,0.048,0.073,0.256,0.201,0.070,0.205,0.146,1102896.000,0.912,0.393,1108137.000,0.910,0.402,2197476.000,0.892,0.347,1010335.000,0.777,0.260,39973.000,19892.000,28154.000,35205.000,54130.000,78537.000
