state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2012,487402.000,0.168,0.289,0.472,0.071,3209646.000,0.053,0.107,0.313,0.220,0.074,0.147,0.086,608843.000,0.869,0.262,616420.000,0.872,0.262,1284024.000,0.856,0.231,700359.000,0.755,0.184,31322.000,18642.000,25485.000,30525.000,45124.000,55943.000
Alaska ,2012,79590.000,0.148,0.406,0.391,0.055,464594.000,0.030,0.050,0.280,0.277,0.082,0.171,0.109,109331.000,0.926,0.241,95782.000,0.933,0.306,197362.000,0.935,0.293,62119.000,0.843,0.269,41288.000,23058.000,30604.000,41092.000,51436.000,68881.000
Arizona ,2012,653206.000,0.176,0.302,0.453,0.070,4280464.000,0.064,0.079,0.243,0.257,0.084,0.172,0.102,875914.000,0.857,0.254,830584.000,0.852,0.297,1602880.000,0.870,0.277,971086.000,0.840,0.265,32447.000,17773.000,25923.000,32278.000,46668.000,60562.000
Arkansas ,2012,288120.000,0.146,0.340,0.448,0.066,1949382.000,0.054,0.098,0.352,0.225,0.061,0.138,0.072,379413.000,0.878,0.224,368925.000,0.871,0.251,759937.000,0.863,0.208,441107.000,0.775,0.167,30191.000,20692.000,25280.000,28590.000,42377.000,54099.000
California ,2012,4022340.000,0.147,0.285,0.479,0.089,24779784.000,0.101,0.084,0.206,0.221,0.079,0.196,0.113,5474318.000,0.849,0.318,5175188.000,0.804,0.328,9530885.000,0.818,0.308,4599393.000,0.781,0.280,36008.000,18675.000,26921.000,35524.000,53033.000,76648.000
Colorado ,2012,511621.000,0.150,0.280,0.464,0.105,3444654.000,0.040,0.054,0.218,0.229,0.084,0.238,0.137,756564.000,0.900,0.375,708732.000,0.902,0.403,1368419.000,0.921,0.381,610939.000,0.884,0.328,36870.000,20886.000,28486.000,33248.000,47782.000,60889.000
Connecticut ,2012,339603.000,0.124,0.295,0.451,0.130,2457978.000,0.042,0.060,0.278,0.176,0.074,0.205,0.166,432609.000,0.922,0.402,458041.000,0.922,0.422,1035304.000,0.919,0.379,532024.000,0.820,0.285,42907.000,21626.000,31740.000,38638.000,57724.000,75271.000
Delaware ,2012,93560.000,0.170,0.304,0.435,0.090,618612.000,0.041,0.074,0.315,0.203,0.072,0.181,0.114,113848.000,0.885,0.324,112221.000,0.903,0.327,251730.000,0.907,0.294,140813.000,0.831,0.249,38151.000,20732.000,28820.000,37243.000,49550.000,64957.000
Florida ,2012,1812848.000,0.163,0.306,0.454,0.077,13503747.000,0.053,0.082,0.298,0.208,0.092,0.173,0.096,2381017.000,0.879,0.269,2408804.000,0.885,0.293,5205099.000,0.883,0.273,3508827.000,0.815,0.243,30787.000,17446.000,24512.000,30604.000,41876.000,57375.000
Georgia ,2012,1020360.000,0.183,0.305,0.440,0.072,6403838.000,0.056,0.094,0.283,0.214,0.071,0.178,0.104,1349901.000,0.850,0.285,1392560.000,0.882,0.322,2522021.000,0.870,0.289,1139356.000,0.766,0.215,32362.000,18613.000,25545.000,31157.000,48704.000,60720.000
